asset	local_status	requirement_class	why	what_it_would_unlock	blocking_for
non-LTR / R2-type RT reference sequences	ABSENT - no registered sequence set	REQUIRED_FOR_LATER_CROSSWALK	RT0's defining claim is that subdomain 0 is conserved ONLY between group II intron and non-LTR RTs. Without a non-LTR comparison class the claim is untestable, exactly as g2 found	the historical RT0 question, and only that	the RT0 crosswalk. NOT g4a, which did not attempt an RT0 call
non-LTR / R2-type RT structures	ABSENT - zero local structures	REQUIRED_FOR_LATER_CROSSWALK	as above, for the structural leg	structural correspondence for RT0	the RT0 crosswalk. NOT g4a
telomerase RT (TERT) references	ABSENT	NOT_CURRENTLY_REQUIRED	telomerase is outside the bacterial RT universe this project mines; it would widen the reference universe, not answer a g4a question	a broader RT-superfamily claim, which nothing currently requires	nothing
Toro 2022 UG/Abi 42-group assignment table	ABSENT - the paper PDF is held; supplementary tables are not on this machine	OPTIONAL_ENRICHMENT	g4a treated UG3 and UG5 as two families and did not need a UG grouping. The 42-group assignment would settle whether UG is one lineage or many, which matters for PANEL BALANCE in a later gate, not for g4a	an evidence-based UG allocation, replacing the unsettled UG_OPTION_A/B choice	a later balanced-panel gate. NOT g4a
Toro 2019 9,141-RT reference tree	PRESENT - references/rt0_rt7/myrt/Suppl_Toro_Tree.txt, measured at exactly 9,141 tips, misfiled under myrt/	NOT_CURRENTLY_REQUIRED	topology is available but tips carry no UG annotation, so it cannot supply group assignments on its own	if myRT ids can be joined to its SEED/PATRIC fig ids - untested - it would give UG topology without the 2022 table	nothing now
Silas 2017, 266 RT-Cas loci	ABSENT - paper held in three copies; data are figshare-hosted	OPTIONAL_ENRICHMENT	g4a's CRISPR family (129 eligible, 90 drawn) was sufficient to include the CRISPR-associated lineage	deeper CRISPR-associated diversity	nothing now
Stage-1 retron stratum	PRESENT but DELIBERATELY UNUSED	REQUIRED_FOR_LATER_CROSSWALK	only 95 eligible full-length retrons exist in myRT and g4a drew 90 of them, leaving 5 unused. That is too thin for an independent retron evaluation set	a genuine retron challenge set independent of the derivation profiles	a retron-focal gate. NOT g4a, which analysed retrons under the same rules as every other family
Pfam RVT_1 / cdd-pfamA	PRESENT	DERIVATION_PROHIBITED for g4a; POST_HOC_COMPARATOR_ALLOWED	the whole point of g4a was to recover structure WITHOUT it	the post-hoc question of where RVT_1 falls relative to the independently inferred frame	nothing - its exclusion is the design
myRT 1,988 seed fragments, 45 HMMs, 46 Stockholm profiles	PRESENT	DERIVATION_PROHIBITED for g4a; POST_HOC_COMPARATOR_ALLOWED	as above	the same post-hoc comparison	nothing - their exclusion is the design
SUMMARY	n/a	n/a	n/a	n/a	NOTHING WAS ACQUIRED FOR g4a AND NOTHING NEEDED TO BE. No asset is classified REQUIRED_FOR_G4A. g4a answered its bounded methodological question from the local full-length-source collection alone
