oq_id	question	area	why_open	blocking_dependency	evidence_state	can_be_answered_with_held_assets	estimated_cost_class	decision_type	recommended_default	priority	owner_decision_required	rev2_change
OQ-01	How must the annotation-lineage dependency be stated, given it governs how evidence is (non-)independent but is NOT a biological determinant of what a retron is?	cross-cutting	Mestre CMs -> PADLOC rules -> DefenseFinder profiles -> MyRT labels all descend from one lineage, so tool agreement is not corroboration. Rev 1 wrongly drifted toward treating this as a biological statement.	none - a declaration plus consistent wording	ESTABLISHED as a fact about evidence independence	yes	none	reporting standard	Require every retron-facing rate to name its defining route; state the dependency as an evidence-independence limitation, never as biology.	P0	YES	WORDING CORRECTED in rev 2
OQ-02	Should the Stage-3B closure label be corrected from PARTIAL to a kill-criterion stop, and the two superseded g2-README statements erratum'd?	Stage 3B	PARTIAL means a bounded-scope pass on Tier B, which was never evaluated; Tier B's PASS branch was unreachable (0 HARD_PAIR chains). Stage 3C has now INHERITED the label, so the mislabel is propagating.	none	FAILED / mislabelled	yes	none	reporting integrity	Additive erratum: relabel STOPPED_ON_K5; record the unreachable PASS branch; supersede the two README statements; write the missing docs/decisions records.	P0	YES	ESCALATED - Stage 3C now repeats the label
OQ-03	Should X1's pooled and pair-weighted R-T be reported beside the component mean wherever X1 is cited?	conditional modelling	X1 prose reports only -0.01778 while its own table carries pooled -0.00066 and pair-weighted +0.00486. X2 does not inherit the defect (token-weighted within component, bootstrap over components) but the X1 narrative files are still cited.	none	PRELIMINARY (X1); superseded as a gate by X2	yes	none	reporting integrity	Report all three weightings for X1 and mark X2 as the governing estimate.	P0	YES	NARROWED - applies to X1 prose only
OQ-04	Is the 175-element panel admitted as a registered project asset, with its exposure map binding its use?	experimental assets	It is the only local experimental measurement layer and was unregistered. The exposure map now exists and shows it is NOT independent.	OQ-01	ESTABLISHED as an inventory; FAILED as independence	yes - map computed in this synthesis	none (registration)	data admission	Register with hashes AND PANEL_LEAKAGE_MAP.tsv. Admit as an assay/feature layer. Forbid the phrase 'independent validation'.	P0	YES	RESOLVED IN PART - map now exists (16/175 fully external)
OQ-05	Does the RT-specific effect survive lineage and derangement controls?	conditional modelling	This was the decisive open question in rev 1.	-	ANSWERED by embed_x2 (4f8550b)	-	already spent	-	No longer open. Answer: yes in sign (R-G -0.00551 [-0.00797,-0.00312], 3/3 seeds same sign), with magnitude undetermined (seed sd 0.0051), homolog group explaining ~77% of R-T, and the permutation control NOT flat (P-T -0.00590).	CLOSED	no	CLOSED BY X2
OQ-06	Should the predeclared rung-0 positive control be run for the retrieval gate?	embeddings	Predeclared, never executed; the retrieval track still has no positive control of its own, and governance requires one before absence-flavoured statements.	none	NOT_YET_TESTED	yes	LOW	evidence standard	Run it. It separates 'the instrument cannot see partner specificity' from 'there is none'.	P1	no - LOW-STAKES default	unchanged
OQ-07	Should the embed_g2 inert-baseline defect (B-pop/B-model) be recorded as an erratum?	embeddings	Both return a constant 0 on every held-out candidate; the bundle claims the type-label shortcut was tested when it was not.	none	ESTABLISHED as a defect	yes	none	reporting integrity	Erratum; it does not change the rung-3 FAIL.	P1	no - LOW-STAKES default	unchanged
OQ-08	Is a MODERN, label-independent de novo retron RT phylogeny justified - distinct from reproducing Mestre and from placement into the 11-clade system?	phylogeny	Rev 1 wrongly closed this by importing the failure of the historical-placement instrument (M2a/K3) and unverified prior tree routes. Those target different questions. X2 now adds a positive reason to want a relatedness backbone: the effect it measures lives largely IN lineage structure (G explains ~77% of R-T).	OQ-01 for label independence	NOT_YET_TESTED (de novo); FAILED (placement into 11 clades); FAILED (re-inference of Mestre)	partly - a 1,919-protein all-vs-all structural distance matrix exists and has never been built as a tree	MEDIUM-HIGH	scientific priority	Build a relatedness BACKBONE for controls first (identity/ANI blocks, not a publication tree). Treat a de novo phylogeny as a separate, preregistered question with declared criteria - do NOT close it.	P1	YES	REOPENED - rev-1 closure withdrawn
OQ-09	What boundary work is possible given the published extents are the only non-CM truth?	ncRNA boundaries	The 977 set does not exist. The panel provides 175 published extents, of which 58 are train-exposed and 33 val/test-exposed; ~95 are not train-exposed. The exact-hash vs blastn gap (12 vs 80) measures published-extent-vs-CM-cut disagreement directly.	OQ-04	NOT_YET_TESTED (supervised); FAILED (comparative)	yes, at n~95	MEDIUM	scientific feasibility	Characterise boundary disagreement on the non-train-exposed extents first; use the SPIRE positional prior and ~90-nt submotif as FEATURES; do not launch a supervised predictor without a declared MDE.	P2	YES	SHARPENED by the leakage map and by the SPIRE feature reframing
OQ-10	Is Region X/Y analysis now defined well enough to go further?	architecture	Stage 3C committed an operational rule before scanning and found: no source states a general numbered interval; X undefined in 13/21 retron chains; Y defined in 15/21; ALL 6 Eco8 chains lack VTG; VTG present in 4 non-retrons; Y carries 1.34x RNA-contact share (range 0.59-1.86, n=15).	Stage 3C (done)	PRELIMINARY (Y) / UNDERPOWERED (X)	the annotations are machine-readable and carry rt_hash for a later join	MEDIUM	scientific scope	Do NOT claim a universal Region-Y motif. The defensible next step is the declared join of XY_REGION_ANNOTATIONS to the RT-ncRNA modelling dataset - which Stage 3C deliberately left out of scope.	P2	YES	UPGRADED from rejected-as-undefined
