dataset	purpose	unit	rule	n_records	n_loci	n_physical_loci	n_exact_rt	n_genomes	n_placements	n_exact_ncrna	n_exact_pairs	suitable_for	NOT_usable_for	retained_uncertainty
D1 full RT corpus	provenance, corpus description	raw record	every RT-anchored record as mined	3059700.0	2847312.0	2475684.0	501561	1542433.0				corpus provenance; per-file composition	ANY biological rate — it double-counts loci mined more than once	duplicate lines; ncRNA-anchored records excluded by rule
D2 distinct-record corpus	anything record-level	distinct record	is_first_copy	3051238.0	2847312.0	2475684.0	501561	1542433.0				record-level QC, tool-call analysis	diversity statements — one protein appears at many records	cross-database locus overlap (200,914 loci)
D3 sequence resource (POP_RT_SEQ)	family composition, length, completeness, diversity, clustering	exact RT protein	distinct, single-family, well-formed protein	3042216.0	2838761.0	2467291.0	493964	1540869.0				family composition, length, completeness, clustering	anything needing genomic context — 16,008 of these proteins have none	partiality (~25% all_partial); family label is HMM-assigned
D4 context resource (POP_RT_CTX)	geometry, locus architecture, genomic context	record / locus	POP_RT_SEQ + elig_geometry	3026000.0	2822547.0	2451078.0	477956	1535827.0				geometry, neighbourhood, locus architecture	protein diversity — it discards usable proteins with broken context	~41% contig-clipped windows retained and stratified, not excluded
D5 MULTI stratum	family-ambiguity analysis only	exact RT protein	file_label = MULTI or multilabel	9022.0	8551.0	8393.0	7598	4459.0				family-ambiguity analysis	any single-family statistic; do not merge into a family	unresolved; margin result confounded with protein length
D6 technically unresolved	QC, method development	record	distinct, single-family, NOT elig_geometry	16216.0	16214.0	16213.0	16014	13827.0				QC and extraction-method development	biology of any kind	628 ill-posed; 16,688 sequence-only
D7 observed placements (canonical)	RT-ncRNA geometry as observed	placement	geometry-eligible and de-duplicated; pair counts here are canonical-derived (30,427)			297793.0	28976		344154.0	16011.0	30427.0	observed geometry, distance, strand, adjacency	cotranscription, cognate recognition, or 'validated pairs'	detector scope (retron CMs only); technical downstream mode
D8 observed placements, Retron only	retron-specific geometric conclusions	placement	canonical AND file_label = Retron			297608.0	28838		343892.0	15906.0	30287.0	retron-specific geometric conclusions	cross-family generalisation	zero-ncRNA rate 47.23% is not measured absence
D9 exact-pair resource (registered view)	pair-level association, co-evolution input	exact (RT, ncRNA) pair	rt_ncrna_exact_pairs_v1 — built on ELIGIBLE placements, not canonical (see F0)				29192			16458.0	30924.0	pair-level association; recurrence-class-filtered co-evolution input	orthogonality — 1:1 as observed is not exclusive pairing	30.3% of recurrence is database copies of one physical locus; ELIGIBLE-based, 497 pairs have no canonical placement
D10 atypical placements	exception review; never a background set	placement	canonical AND (opposite strand OR >2 CDS between OR |distance| > 5 kb)			7296.0	746		8852.0	431.0	846.0	exception review, hypothesis generation	a background or null distribution	mixed causes: artefact, annotation gap, and possible biology
D11 retron-CM / non-Retron-RT candidates	candidate cross-family associations	placement	eligible, retron CM, non-Retron single-family RT			182.0	134		260.0	107.0	137.0	candidate list for annotation follow-up	novel retrons — CM cross-matching is not excluded	partner ambiguity and CM-hit quality not yet assessed
