claim_id	level	claim	supporting_analysis	dataset_population	inferential_unit	result_estimate	limitations	status	source_bundle_and_commit
C-01	1 broad association	Frozen ESM-C (RT) and RiNALMo (ncRNA) representations contain shared structure that identifies the observed ncRNA partner far above chance among random candidates	50-way retrieval, rung 1, regularized CCA (M-CCA) vs trivial baselines; permutation failure control	frozen test fold of PAIR-ELIG: 4,638 pairs / 357 components	relatedness component (10,000-resample bootstrap)	MRR 0.4407 [0.4039, 0.4772] vs chance 0.0900; top-1 0.1714; permutation null mean 0.0901, p = 0.0005; reverse direction 0.4738 [0.4380, 0.5104]	Random candidates are a weak control; the effect is consistent with retron-type structure alone. n_eff = 14.1, not 4,638.	SUPPORTED	results/embed_g2_frozen_baseline @ 2c9127b
C-02	1 broad association	The cross-modal advantage over the strongest trivial baseline survives control for length and GC composition	Rung 2 (length- and GC-matched candidates), paired per-component difference M-CCA - B-kmer against a pre-declared margin rule	test fold, rung-2 eligible: 4,380 pairs / 316 components	relatedness component	M-CCA 0.2262 [0.1972, 0.2565] vs B-kmer 0.1418; difference +0.0844 [+0.0503, +0.1187] (passes the pre-declared stop rule)	Does not separate retron-type structure from partner-level information.	SUPPORTED	results/embed_g2_frozen_baseline @ 2c9127b
C-03	1 broad association	Retron type is independently recoverable from each modality alone, which supplies a sufficient route for any cross-modal method to score observed pairs highly without partner information	Multinomial logistic probe on frozen pooled embeddings, fit on training components, reported on test components	train/test components of PAIR-ELIG, 21 classes	sequence (probe accuracy), component-blocked fit	ESM-C RT 0.4978; RiNALMo ncRNA 0.6557; majority-class rate 0.2693	Explanatory, not a demonstration that type is the only route; a probe accuracy is not a causal decomposition.	SUPPORTED	results/embed_g2c_atlas @ 9154972
C-04	1 broad association	Local organization of the shared cross-modal space is substantially type-associated rather than demonstrably pair-specific	Neighbourhood analysis in the shared CCA space over the open candidate pool	test fold, open pool of 2,756 distinct ncRNAs	query RT (descriptive); pool-level statistics	nearest cross-modal neighbour is the observed partner for 0.56 % of queries; median rank 238 of 2,756; 51.9 % of nearest neighbours share the query's retron type vs 9.4 % prevalence (5.32x)	Descriptive; no interval; rank statistics depend on the pool definition.	SUPPORTED	results/embed_g2c_atlas @ 9154972
C-05	2 RT-specific association	Retrieval evidence does NOT establish partner-specific information beyond retron type: with type-matched candidates the cross-modal probe is not distinguishable from a k-mer baseline	Rung 3 (retron-type-matched candidates), paired per-component difference against the pre-declared margin	test fold, rung-3 eligible: 4,410 pairs / 299 components	relatedness component	M-CCA 0.1832 [0.1550, 0.2126] vs B-kmer 0.1534; difference +0.0298, 95 % CI [-0.0048, +0.0633] - fails the pre-declared stop rule	Absence of a distinguishable difference is NOT equivalence: the interval admits a true improvement up to +0.063. Power is limited at n_eff 14.1.	NOT_SUPPORTED (as a retrieval-based level-2 claim)	results/embed_g2_frozen_baseline @ 2c9127b
C-06	2 RT-specific association	Harder candidate rungs (same ncRNA cluster, same RT cluster, same species) cannot adjudicate partner specificity in this population	Rungs 4-6 of the candidate ladder, reported as UNDETERMINED rather than as nulls	test fold; rung pools spanning 1, 10 and 22 independent components	relatedness component	rung 4: 1 component (degenerate); rung 5: 10; rung 6: 22 - all below the component support confirmatory inference requires	Absence of sufficient measurement, not measured absence. Reporting these as nulls would be a category error.	PENDING (not measurable in this population)	results/embed_g2_frozen_baseline @ 2c9127b
C-07	1 broad association	Conditioning an ncRNA sequence model on retron type improves held-out ncRNA likelihood over no conditioning	X1 arms T vs U, identical decoder, paired per-component NLL difference	frozen test fold: 4,638 pairs / 357 components	relatedness component (token-weighted within component)	T - U = -0.03585 nats/nt [-0.04262, -0.02924]; 80.7 % of components favour T; U 1.41097 -> T 1.37513 (ppl 4.100 -> 3.956)	One pilot run, one seed per arm, single fold; U overfits at epoch 0 which flatters the contrast with a trained-longer arm.	PRELIMINARY	results/embed_x1_conditional_pilot @ 8bf7207
C-08	2 RT-specific association	Conditioning on the specific RT representation improves held-out ncRNA likelihood beyond retron-type conditioning	X1 primary comparison R vs T (pre-registered as the primary contrast), paired per-component NLL difference	frozen test fold: 4,638 pairs / 357 components	relatedness component	R - T = -0.01778 nats/nt [-0.02428, -0.01052]; 65.0 % of 355-357 components favour R; ~1.3 % relative; survives the frozen near-duplicate-excluded population (-0.01809 [-0.02530, -0.00992], 284 components)	Small effect; one seed, one fold, no cross-fitting; type conditioning explains twice as much (T-U -0.036); not resolved in T4; likelihood improvement is not partner compatibility.	PRELIMINARY	results/embed_x1_conditional_pilot @ 8bf7207
C-09	2 RT-specific association	The observed RT gives higher likelihood for its observed ncRNA than same-type alternative RTs do	X1 same-type counterfactual conditioning control (evaluation only, M = 8 alternatives, rule fixed in PREREG)	4,630 of 4,638 held-out pairs eligible (99.8 %); 355 components	relatedness component	Delta log P = +0.013512 nats/nt [+0.006820, +0.018813]; 71.0 % of pairs and 75.8 % of components favour the observed RT	Alternatives are controls, not biological negatives; C1 (same type) is the weakest counterfactual tier; stricter tiers C2-C4 are pending in X2.	PRELIMINARY	results/embed_x1_conditional_pilot @ 8bf7207
C-10	2 RT-specific association	The RT-specific advantage is NOT resolved in the independently recurrent tier (T4), where a repeated observation is a repeated biological event rather than repeated deposition	X1 descriptive strata, arm R minus arm T within tier	T4 subset of the test fold: 991 pairs / 83 components (n_eff 9.02)	relatedness component	R - T = -0.00776 [-0.01761, +0.00169] - interval includes zero; 50.6 % of components favour R	Descriptive and under-powered by design; absence of significance is not absence of effect. Cross-fitting raises T4 coverage to 247 components but n_eff falls to 8.6, so X2 is predicted not to resolve it.	NOT_SUPPORTED (in T4; under-powered)	results/embed_x1_conditional_pilot @ 8bf7207; T4 audit in ARIS_OUTPUT/embed_x2_confirmation/tables/T4_AUDIT.tsv
