source_id	pdb_ids	protein	citation	pmid	pmcid	doi	retrieval_status	cache_file	sha256	boundaries_found	why_used_or_not
SRC-HUANG98	1RTD	HIV-1 RT p66/p51	Huang H, Chopra R, Verdine GL, Harrison SC. Structure of a covalently trapped catalytic complex of HIV-1 reverse transcriptase. Science 1998;282:1669-1675.	9831551		10.1126/science.282.5394.1669	ABSTRACT_ONLY		NA	none	PRIMARY structure paper for 1RTD. Not in PMC; science.org returns HTTP 403 to both curl and WebFetch. Abstract retrieved via Europe PMC contains no residue-numbered subdomain boundaries.
SRC-KOHL92	(defines HIV-1 RT subdomain nomenclature)	HIV-1 RT	Kohlstaedt LA, Wang J, Friedman JM, Rice PA, Steitz TA. Crystal structure at 3.5 A resolution of HIV-1 reverse transcriptase complexed with an inhibitor. Science 1992;256:1783-1790.	1377403		10.1126/science.1377403	ABSTRACT_ONLY		NA	none	Origin of the fingers/palm/thumb/connection nomenclature. Not in PMC; science.org 403. Abstract mentions "four subdomains" without residue numbers. Its boundaries are only reachable here second-hand (see London 2016 row).
SRC-JACOBO93	(HIV-1 RT/DNA/Fab)	HIV-1 RT	Jacobo-Molina A, Ding J, Nanni RG, et al. Crystal structure of HIV-1 RT complexed with double-stranded DNA at 3.0 A. PNAS 1993;90:6320-6324.	7687065	PMC46920	10.1073/pnas.90.13.6320	ABSTRACT_ONLY	PMC46920.efetch.xml	85b3f789105321a5973cfe2369e44cd5fe75e3cb200120438b954014ed5d8bd0	none	PMC record is a SCANNED article ("The publisher of this article does not allow downloading of the full text in XML form"); PMC/EuropePMC PDF fetch blocked by bot challenge; pnas.org 403. Abstract names the four subdomains but gives no residue numbers.
SRC-GEORG95	(MMLV RT catalytic fragment; parent of 5VBS scaffold)	MMLV RT	Georgiadis MM, Jessen SM, Ogata CM, Telesnitsky A, Goff SP, Hendrickson WA. Mechanistic implications from the structure of a catalytic fragment of Moloney murine leukemia virus reverse transcriptase. Structure 1995;3:879-892.	8535782		10.1016/s0969-2126(01)00223-4	ABSTRACT_ONLY		NA	none	Not OA; cell.com and sciencedirect.com return 403. Abstract has no residue-numbered subdomain boundaries.
SRC-DAS04	(full-length monomeric MMLV RT)	MMLV RT	Das D, Georgiadis MM. The crystal structure of the monomeric reverse transcriptase from Moloney murine leukemia virus. Structure 2004;12:819-829.	15130474		10.1016/j.str.2004.02.032	ABSTRACT_ONLY		NA	none	Not OA; cell.com/sciencedirect 403 for curl and WebFetch. Abstract names thumb, connection and RNase H domains but gives no residue numbers.
SRC-SINGH17	5VBS	MMLV RT fragment (crystallization host)	Singh I, Kim MJ, Molt RW, Hoshika S, Benner SA, Georgiadis MM. Structure and Biophysics for a Six Letter DNA Alphabet... ACS Synth Biol 2017;6:2118-2129.	28752992	PMC5831194	10.1021/acssynbio.7b00150	FULL_TEXT	PMC5831194.txt	2400262b7a9937db188dbf19b03f6573b3c1353ec55c045c9f5bd66580576854	none	Primary citation of 5VBS. Full text retrieved; the MMLV RT fragment is only a crystallization host: "The N-terminal fragment of MMLV-RT consists of the fingers and palm domains" with NO residue numbers. 5VBS chain A author numbering is 20-278 (native MMLV RT numbering).
SRC-LONDON16	(secondary)	HIV-1 RT	London RE. Structural Maturation of HIV-1 Reverse Transcriptase... Viruses 2016;8:260.	27690082	PMC5086598	10.3390/v8100260	FULL_TEXT	PMC5086598.txt	2cdf90b22ee5b2a6ceb1269eef88c8063a53be84e88da18a76d32a300ec434d7	5 (F,P,T,connection,RH)	USED as a SECONDARY source because the HIV-1 primaries are unreachable; explicitly states its boundaries and how they differ from Kohlstaedt/Ding.
SRC-SINGHDAS22	(secondary)	HIV-1 RT	Singh AK, Singh AK, Das K. Insights into HIV-1 RT Inhibition and Drug Resistance... Viruses 2022;14:1027.	35632767	PMC9148108	10.3390/v14051027	FULL_TEXT	PMC9148108.txt	3346f248f3cca3e892aa4f423582f737eb3a6b10451f1210c252610cc65c3379	4 (fingers,palm,thumb,connection)	USED as SECONDARY source; disagrees with London 2016 at every boundary.
SRC-VERGARA24	(secondary)	HIV-1 RT	Vergara S, et al. Structural basis of deoxynucleotide addition by HIV-1 RT... Nat Commun 2024;15:10544.	39632888	PMC11618517	10.1038/s41467-024-54580-1	FULL_TEXT	PMC11618517.txt	3670307805866c2132f39a60504f52072fcacccf87561c4366b119de200d5ed2	1 (fingers)	USED as SECONDARY corroboration of the 1-85/118-155 fingers definition.
SRC-QU16	5G2X	LtrA	Qu G, et al. Structure of a group II intron in complex with its reverse transcriptase. Nat Struct Mol Biol 2016;23:549-557.	27136327	PMC4899178	10.1038/nsmb.3220	FULL_TEXT	PMC4899178.txt	3624b38966b7ddfb58eedea40b26270392abb20fd2c955ded424f39672fb7bc3	4 (fingers-palm, thumb x2, EN)	PRIMARY for 5G2X. All numbers come from the homology-modelling Methods section, not from an independent structural parse.
