myrt_model	myrt_fine_family	stage1_family	collapse_type	included_in_RVT-All	standalone_model_available	seed_fasta_available	in_RTs_collection_labels	notes
RVT-AbiA	RVT-AbiA	RVT-AbiA	ONE_TO_ONE	YES	YES	YES	YES	
RVT-AbiK	RVT-AbiK	RVT-AbiK	ONE_TO_ONE	YES	YES	YES	YES	
RVT-AbiP2	RVT-AbiP2	RVT-AbiP2	ONE_TO_ONE	YES	YES	YES	YES	
RVT-CRISPR-G1	RVT-CRISPR-G1	RVT-CRISPR	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-CRISPR-G2	RVT-CRISPR-G2	RVT-CRISPR	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-CRISPR-G3	RVT-CRISPR-G3	RVT-CRISPR	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-CRISPR-G4	RVT-CRISPR-G4	RVT-CRISPR	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-CRISPR-G5	RVT-CRISPR-G5	RVT-CRISPR	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-CRISPR-like	RVT-CRISPR-like	RVT-CRISPR-like	ONE_TO_ONE	NO	YES	YES	NO	standalone .hmm and .fst exist but the model is ABSENT from RVT-All.hmm; Stage-1 nevertheless carries it: 3,168 exact RTs in the source-file view, 3,156 in the single-family analytical view
RVT-DGRs	RVT-DGRs	RVT-DGRs	ONE_TO_ONE	YES	YES	YES	YES	
RVT-G2L	RVT-G2L	RVT-G2L	ONE_TO_ONE	YES	YES	YES	YES	in RVT-All.hmm but absent from the HMM/List file
RVT-G2L4	RVT-G2L4	RVT-G2L4	ONE_TO_ONE	YES	YES	YES	YES	
RVT-G2Lb	RVT-G2Lb	RVT-G2Lb	ONE_TO_ONE	YES	YES	YES	NO	in RVT-All.hmm but absent from the HMM/List file; and absent from RTs-collection.faa labels
RVT-G2Lc	RVT-G2Lc	RVT-G2Lc	ONE_TO_ONE	YES	YES	YES	NO	in RVT-All.hmm but absent from the HMM/List file; and absent from RTs-collection.faa labels
RVT-GII-I	RVT-GII-I	RVT-GII	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-GII-II	RVT-GII-II	RVT-GII	FINE_TO_COARSE_COLLAPSE	YES	YES	YES	YES	
RVT-Retrons	RVT-Retrons	Retron	RENAMED	YES	YES	YES	YES	
RVT-UG1	RVT-UG1	RVT-UG1	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG10	RVT-UG10	RVT-UG10	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG11	RVT-UG11	RVT-UG11	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG12	RVT-UG12	RVT-UG12	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG13	RVT-UG13	RVT-UG13	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG14	RVT-UG14	RVT-UG14	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG15	RVT-UG15	RVT-UG15	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG16	RVT-UG16	RVT-UG16	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG17	RVT-UG17	RVT-UG17	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG18	RVT-UG18	RVT-UG18	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG19	RVT-UG19	RVT-UG19	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG2	RVT-UG2	RVT-UG2	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG20	RVT-UG20	RVT-UG20	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG21	RVT-UG21	RVT-UG21	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG22	RVT-UG22	RVT-UG22	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG23	RVT-UG23	RVT-UG23	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG24	RVT-UG24	RVT-UG24	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG25	RVT-UG25	RVT-UG25	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG26	RVT-UG26	RVT-UG26	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG27	RVT-UG27	RVT-UG27	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG28	RVT-UG28	RVT-UG28	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG28b	RVT-UG28b	RVT-UG28b	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG3	RVT-UG3	RVT-UG3	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG4	RVT-UG4	RVT-UG4	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG5	RVT-UG5	RVT-UG5	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG6	RVT-UG6	RVT-UG6	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG7	RVT-UG7	RVT-UG7	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG8	RVT-UG8	RVT-UG8	ONE_TO_ONE	YES	YES	YES	YES	
RVT-UG9	RVT-UG9	RVT-UG9	ONE_TO_ONE	YES	YES	YES	YES	
(none)	(none)	MULTI	STAGE1_ONLY_CONSTRUCT	NO	NO	NO	NO	MULTI is a project multi-label construct, not a myRT family
