anchor_id	definition	evidence_class	how_it_is_located	measured_occupancy_in_the_broad_panel	multiplicity	families_where_it_fails	independent_of_the_instrument	may_be_used_as	unit	denominator
A_DYAD	the catalytic aspartate dyad, literal [YF]xDD	sequence motif determined by the query's own residues	direct regex on the full-length sequence	MEASURED: 2,090 of 2,202 labelled collection proteins carry it, 94.9 percent. Contrast 56 of 66, 84.8 percent, on the historical GII substrate	251 of 2,202 proteins carry MORE THAN ONE - 11.4 percent. A multiplicity rule is mandatory and must be declared before use	7 families below 90 percent: UG13 52.0, UG23 66.7, UG15 69.2, UG21 69.6, G2L 76.4, UG12 86.5, Retrons 89.6	YES - the only anchor whose position needs no model	held-out landmark check, PROVIDED it is masked from derivation, features and thresholds	protein	2,202 labelled full-length proteins
A_DYAD_SCOPE	where the dyad falls relative to the Pfam RVT_1 window	coordinate relation	compare motif position to the mapped RVT_1 span	MEASURED: when a mapped protein carries a dyad, the dyad lies inside the RVT_1 window in 1,751 of 1,758 cases - 99.6 percent	as above	n/a	partially - the window is model-defined	evidence that the dyad is a reliable WITHIN-CORE anchor, not that the core is correctly bounded	protein	1,758 mapped dyad-bearing proteins
A_RVT1_STATES	Pfam RVT_1 profile match states	external community profile	hmmscan against the local cdd-pfamA	the window is present on every seed by construction; occupancy on non-seed proteins is UNMEASURED and must be piloted	one hit per protein in the myRT build; multi-hit behaviour on full-length proteins is UNMEASURED	UNMEASURED	YES of this project, NO of myRT - myRT's seeds were cut to this window	the primary scaffold candidate; an external coordinate system predating and independent of every project artefact	match state	to be measured
A_FAMILY_HMM	match states of the 45 myRT family HMMs	prior model	hmmscan against RVT-All.hmm	NSEQ sums to 1,988 with every family's NSEQ equal to its FASTA count	per-family	families whose seeds lack full-length parents - AbiP2, UG24, AbiK and 5 others	NO - Stage-1 family labels are this system's own collapsed output	family-classification CONTEXT and a comparator for core localisation. NEVER as family ground truth	match state	45 models
A_G2_LANDMARKS	the historical landmarks recovered in g2, in LtrA coordinates	historical reconstruction	project the g2 frame onto a query via the shared coordinate carrier	27 of 28 prior landmark placements fall inside a reconstructed g2 region; 6 of 7 sit at the identical LtrA residue across four prior frames	one per landmark	RT1 is the only landmark that moves between frames; RT0 has no reconstructed region at all	NO for GII-like sequences - LtrA is the carrier	CROSSWALK ONLY, after the broad frame is frozen. May not seed the broad frame	residue	28 placements
A_POCH_MOTIFS	the four conserved RNA-dependent polymerase motifs of Poch et al. 1989	derivational primary literature	motif or profile search	UNMEASURED in this project	UNMEASURED	UNMEASURED	YES - published, predates every project artefact, and is the most general RT motif set available	STRONG CANDIDATE for a second and third anchor, and the obvious way to reduce sole dependence on A_DYAD. Must be measured before the panel is frozen	motif	to be measured
A_STRUCTURAL	fingers/palm/thumb elements from the 39 local RT structures	structural, a DIFFERENT representation	DSSP boundaries already extracted for 25 structures	21 of 38 families have no structure at all; prior sequence-to-structure cross-validation covers only 11 of 25 with thumb Jaccard 0.0 for five	n/a	all unrepresented families	only if never used to define a sequence anchor	POST-FREEZE orthogonal correspondence test only	structure	39 entries
RULE_ANCHOR_1	no single anchor is sufficient	n/a	n/a	A_DYAD at 94.9 percent broad occupancy is the strongest single anchor available and still fails in 7 families, one of them at 52 percent	n/a	n/a	n/a	the design must be MULTI-ANCHOR, and per-family anchor availability must be declared BEFORE derivation, not discovered after	n/a	n/a
RULE_ANCHOR_2	anchor-poor families are named in advance	n/a	n/a	UG13, UG23, UG15, UG21, G2L, UG12 and Retrons are below 90 percent dyad occupancy	n/a	n/a	n/a	these families are predeclared as anchor-poor; a low mapping rate there is an expected property of the reference material, not a finding about biology	n/a	n/a
RULE_ANCHOR_3	the primary target is not exempt	n/a	n/a	Retrons sit at 89.6 percent, just below the 90 percent line	n/a	n/a	n/a	retron results must carry this figure alongside them; the instrument's weakest common anchor is measurably weaker in the focal class	n/a	n/a
