tier	definition	evidence_required_to_assign_a_feature_here	measured_candidate	how_reported	what_may_NOT_be_concluded	unit	denominator
T1_UNIVERSAL_CORE	features locatable in most proteins of most lineages	the feature is located in at least 90 percent of proteins in at least 5 of the 6 lineages, under the frozen instrument and stable across the perturbation ensemble	A_DYAD is the only current candidate: 94.9 percent broad occupancy, but it fails the 90 percent bar in 7 families including Retrons at 89.6, so on present evidence it is T2 rather than T1	per-lineage occupancy with the denominator, never a single pooled rate	that a T1 feature is present in every RT; the rate is a rate	feature	proteins per lineage
T2_BROAD_NON_UNIVERSAL	features present in multiple lineages but demonstrably absent or unlocatable in others	located in at least 90 percent of proteins in at least 2 lineages AND below 90 percent in at least one, with the low lineage shown to be inspectable	A_DYAD as currently measured: 100 percent in 17 UG families and AbiA/AbiK/AbiP2, against UG13 at 52.0 percent	the occupancy matrix, lineage by feature, with anchor-poor families flagged as predeclared	that a lineage lacking the feature has lost it - see V12	feature	proteins per lineage
T3_LINEAGE_SPECIFIC	features locatable only within one lineage	located in at least 90 percent of one lineage and below 10 percent in all others, on inspectable full-length sequence	NONE MEASURED YET. The historical RT0 candidate would sit here if it proves GII-restricted, which is the V11 test	per-lineage, with the inspectability of the negative lineages shown	that the feature originated in that lineage, or that others lost it - this is Stage 06 territory	feature	proteins per lineage
T4_FAMILY_INSERTIONS	sequence lying between conserved anchors, measured relative to them	both flanking anchors located on the same protein	DIRECTLY MEASURABLE ONCE ANCHORS ARE PLACED, and the most robust architecture quantity available because it needs no region edges. The full-length substrate is what makes it measurable at all	inter-anchor length distributions by family, with anchor uncertainty propagated	that an insertion is a domain; a length is a length	residues	proteins with both flanking anchors
T5_TERMINAL_EXTENSIONS	sequence N-terminal or C-terminal to the outermost anchor	the outermost anchor located, and the protein not truncated	ALREADY MEASURED against the RVT_1 window: median N-terminal extension 97 aa, mean 112.3, max 631; 62.0 percent of source proteins carry at least 80 aa N-terminal. Per family the median ranges from Retrons 51 aa to UG10 468 aa	N-terminal and C-terminal extension length distributions by family	that an extension is a fused domain without independent domain evidence - that is Stage 08	residues	proteins with the outermost anchor located
T6_UNRESOLVED	sequence for which no homologous correspondence is supported	the default. Sequence enters T6 unless positively assigned elsewhere	expected to be substantial, and reporting it honestly is the point	as a fraction of each protein and of each family, always visible	nothing. T6 is the honest residue and may not be quietly dropped from denominators	residues	residues per protein
RULE_A1	the tiers are assigned from measurement, never from expectation	n/a	n/a	n/a	n/a	no feature is placed in T1 because the literature calls it universal	n/a	n/a
RULE_A2	this hierarchy replaces a fixed region count	n/a	n/a	n/a	n/a	no number of regions - six, seven or any other - is an output of this design	n/a	n/a
RULE_A3	T4 and T5 are the deliverables most likely to survive	n/a	n/a	n/a	inter-anchor spacing and terminal extensions need only anchors, not edges, so they are robust to the boundary problem that has defeated three design rounds	they are architecture measurements, not domain calls	n/a	n/a
RULE_A4	fusions are retained and flagged, never excised	n/a	n/a	CRISPR has 18 members above 900 aa; UG5 61 of 67; UG1 30 of 31; UG10 max 1,879 aa	flagged as a fusion sub-stratum within their family	that a long protein is a fusion without independent domain evidence	protein	proteins per family
