statement_id	source_id	g1_assignment	statement	published_value	observed	recovery_verdict	note	unit	frame	denominator
H01	xiong1990	X01	Seven peptide regions (domains 1-7) are common to all elements	7	6 blocks at the declared reporting point; 7 blocks at 1/30 gap values at min_size=2 and 4/30 at min_size=3	NOT_RECOVERED	Seven is attainable but not stable: it occupies isolated parameter values while 6 blocks hold the widest plateau. The declared rule selects stability, and it was written before any block was counted. Sharper still: block(s) [1] fall wholly inside the LtrA region Blocker 2005 assigns to RT0 and block(s) [2] straddle that edge, so within the RT1-RT7 region proper this substrate yields 5 blocks, not seven.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H02	xiong1990	X01	The seven domains contain 178 amino acids in total	178	254 columns spanned, 81 conserved positions inside the reconstructed blocks	PARTIALLY_RECOVERED	Same order of magnitude as the published 178 aa across all RT classes, on a single-class substrate where exact agreement was never expected.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H03	xiong1990	X03	42 conserved positions were identified within the seven domains	42	81 conserved columns in the RT domain	PARTIALLY_RECOVERED	The criterion yields conserved positions in the published magnitude range; the sequence set is different, so the count is not expected to match 42 exactly.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H04	zimmerly2001	Z10	RT subdomains 0-7 are equally conserved within the mitochondrial and bacterial groups, 90 and 94 residues respectively	90|94	mitochondrial=116; bacterial=100	PARTIALLY_RECOVERED	Compared against the authors own 90 and 94 residues measured on this very alignment - the closest thing to a ground truth this gate has.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H05	zimmerly2001	Z11	The catalytic YxDD motif lies in subdomain 5	5	the catalytic Y/FxDD lies in reconstructed block 5 of 6 (alignment column 783, LtrA residue 306)	RECOVERED	An ordering constraint that numbers the blocks without importing any modern boundary.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H06	zimmerly2001	Z08	The 4/5 spacer varies from 1 to 179 amino acids	1-179	widest inter-block gap is 4/5 at 190 columns, 5-185 residues across sequences	RECOVERED	The source describes the 4/5 spacer as the variable insertion site, 1-179 aa. The reconstruction's widest gap is compared against that without being fitted to it.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H07	zimmerly2001	Z08	The 7/X spacer ranges from 0 to 235 amino acids	0-235	domain X is not reconstructed by this gate	NOT_TESTABLE_ON_SUBSTRATE	The 7/X spacer needs domain X located, which is out of this gate's scope.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H08	xiong1990	X08	Most RNA viruses lack a complete domain 6	incomplete in whole classes	least fully occupied block is 2 at 0.00 of sequences covered with no gap	PARTIALLY_RECOVERED	The classes Xiong named are absent here; what is testable is whether one block is systematically less complete, and one is.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H09	blocker2005	B02	LtrA RT0 is the N-terminal fragment M1-R85, and RT1/7 spans R86-R364	86-364	blocks map onto LtrA residues 39-361; 4 of 6 blocks fall inside Blocker's RT1-RT7 span 86-364	PARTIALLY_RECOVERED	An independent structural/biochemical coordinate test of a reconstruction built without it. It may constrain or falsify; it may not define.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H10	zimmerly2001	Z06	Subdomain 0 is conserved only between group II intron and non-LTR RTs	group II intron and non-LTR only	no non-LTR class is present in this alignment	NOT_TESTABLE_ON_SUBSTRATE	RT0's defining claim is cross-class. Reported OUT_OF_FRAME; no RT0 block was created.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
H11	zimmerly2001	Z04	The subdomain labels were taken from earlier work and adjusted to the boundaries of conservation seen in this alignment	qualitative	the conservation boundaries of this alignment support 6 stable blocks, not 7	NOT_RECOVERED	The published labels were stated to be inherited and then adjusted to the boundaries of conservation seen in this alignment. Applying the founding criterion to that same alignment does not return the seven-way partition at the stable point.	historical statement	ALIGN_000044 reconstruction	11 statements declared testable or untestable in control/
