claim_id	layer	claim	permitted_scope	evidence_key	value	lookup_kind	source	selector	column	bundle	bundle_landing_commit	source_commit_at_pin
S2-01	L1	Historical RT0-RT7 are procedural labels: of 32 region names in the held sources, 1 has a stated residue boundary.	held sources only; Malik 1999 not held	g1_regions	32	TABLE	results/rt07_g1_history_and_definition/tables/g1_resolved_values.tsv	key=n_regions	raw_value	rt07_g1_history_and_definition	558ee896cae86a5dde8f05d0e93db5ae95fe6c47	558ee896cae86a5dde8f05d0e93db5ae95fe6c47
S2-01	L1	Historical RT0-RT7 are procedural labels: of 32 region names in the held sources, 1 has a stated residue boundary.	held sources only; Malik 1999 not held	g1_stated_boundary	1	TABLE	results/rt07_g1_history_and_definition/tables/g1_resolved_values.tsv	key=n_stated_boundary	raw_value	rt07_g1_history_and_definition	558ee896cae86a5dde8f05d0e93db5ae95fe6c47	558ee896cae86a5dde8f05d0e93db5ae95fe6c47
S2-01	L1	Historical RT0-RT7 are procedural labels: of 32 region names in the held sources, 1 has a stated residue boundary.	held sources only; Malik 1999 not held	g1_derivable	18	TABLE	results/rt07_g1_history_and_definition/tables/g1_resolved_values.tsv	key=n_derivable	raw_value	rt07_g1_history_and_definition	558ee896cae86a5dde8f05d0e93db5ae95fe6c47	558ee896cae86a5dde8f05d0e93db5ae95fe6c47
S2-01	L1	Historical RT0-RT7 are procedural labels: of 32 region names in the held sources, 1 has a stated residue boundary.	held sources only; Malik 1999 not held	g1_quotes	36	TABLE	results/rt07_g1_history_and_definition/tables/g1_resolved_values.tsv	key=n_quotes	raw_value	rt07_g1_history_and_definition	558ee896cae86a5dde8f05d0e93db5ae95fe6c47	558ee896cae86a5dde8f05d0e93db5ae95fe6c47
S2-01	L1	Historical RT0-RT7 are procedural labels: of 32 region names in the held sources, 1 has a stated residue boundary.	held sources only; Malik 1999 not held	g1_quotes_bad	0	TABLE	results/rt07_g1_history_and_definition/tables/g1_resolved_values.tsv	key=n_quotes_bad	raw_value	rt07_g1_history_and_definition	558ee896cae86a5dde8f05d0e93db5ae95fe6c47	558ee896cae86a5dde8f05d0e93db5ae95fe6c47
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_proteins	66	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=n_proteins	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_blocks	6	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=n_blocks	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_blocks_f2	7	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=n_blocks_f2	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_p_cons	0.0050	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=p_cons	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-02	L1	The numbered landmarks are reconstructable on ALIGN_000044 (66 proteins): conserved positions and gap structure beat their nulls, the block count does not.	project reconstruction, interval-level only	g2_p_gap	0.0050	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=p_gap	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
