seq	layer	object	verdict	score_of_10	disposition	record	verified_literal
1	L2	g4 design (identifiability), round 1	not ready	3	design replaced by the identifiability redesign	docs/decisions/2026-09-16_stage2_g4_identifiability_redesign.md	score 3 / 10, verdict `not ready`
2	L2	g4 identifiability redesign, round 2	not ready	4	stopped for operator decision; scope separated	docs/decisions/2026-09-16_stage2_g4_review_round2_and_repairs.md	round 2:  score 4 / 10,  verdict "not ready"
3	L2	full-length-first design	FAIL/BLOCK	5	errata verified; forks returned to the operator	docs/decisions/2026-09-16_stage2_full_length_first_errata.md	FAIL/BLOCK at 5/10
4	L2	g4a frame recovery	PASS_WITH_REQUIRED_REPAIRS	6	repairs required; UG5 holdout gate mandated	docs/decisions/2026-09-16_stage2_g4a_review_outcome_and_repairs.md	PASS_WITH_REQUIRED_REPAIRS (6/10)
5	L2	repaired g4a + UG5 gate	FAIL/BLOCK	5	two verified bugs; eight bounded repairs	docs/decisions/2026-09-16_stage2_g4a_repair_ug5_review_outcome.md	FAIL/BLOCK (5/10)
6	L2	UG5 v3 placement rule	FAIL/BLOCK	5	v3 reclassified as a detection sub-gate, not a mapper gate	docs/decisions/2026-09-16_stage2_ug5_v3_review_outcome.md	FAIL/BLOCK (5/10)
7	L2	G2L residue-transfer gate	FAIL/BLOCK	4	g4b not authorised; no frozen score rule; next holdout must be untouched and genealogically audited	docs/decisions/2026-09-17_stage2_g2l_transfer_review_FAILED.md	**Verdict: `FAIL/BLOCK`. Score: 4/10.**
8	L2	mapper validation repair	PASS_WITH_REQUIRED_REPAIRS	6	class B; UG25 stays sealed; six bounded repairs	docs/decisions/2026-09-17_stage2_mapper_validation_review_outcome.md	PASS_WITH_REQUIRED_REPAIRS (6/10), class B
9	L2	mapper repair v2	PASS_WITH_REQUIRED_REPAIRS	6	class B; UG25 stays sealed; seven new repairs	docs/decisions/2026-09-17_stage2_mapper_repair_v2_review_outcome.md	PASS_WITH_REQUIRED_REPAIRS (6/10), class B
10	L2	FINAL_PRE_UG25_VALIDATION_BUNDLE, round 1	class B	7	three bounded repairs; UG25 still sealed	docs/decisions/2026-09-17_stage2_final_pre_ug25_bundle.md	reviewed: 7/10, class B
11	L2	FINAL_PRE_UG25_VALIDATION_BUNDLE, round 2	FAIL_BLOCK (formal field)	8	authorised blocker closed per reviewer; new residual classed out-of-scope, non-load-bearing	docs/decisions/2026-09-17_stage2_ug25_confirmatory_closed.md	`8/10`; classification `B`
12	L2	UG25 confirmatory transfer, post-run	PASS_WITH_REQUIRED_REPAIRS	7	CONFIRMATORY TRANSFER SUPPORTED; validation closed (Endpoint A)	docs/decisions/2026-09-17_stage2_ug25_confirmatory_closed.md	**`PASS_WITH_REQUIRED_REPAIRS` · 7/10 · CONFIRMATORY TRANSFER: SUPPORTED
13	L2	g4b production packaging, round 1	PASS_WITH_REQUIRED_REPAIRS	6	identity-binding repairs	docs/decisions/2026-09-17_stage2_g4b_production_packaging.md	**Round 1** (thread `01a0afd9-39e8`): `PASS_WITH_REQUIRED_REPAIRS`, **6/10**
14	L2	g4b production packaging, round 2	PASS_WITH_REQUIRED_REPAIRS	9	g5 authorised	docs/decisions/2026-09-17_stage2_g4b_production_packaging.md	`PASS_WITH_REQUIRED_REPAIRS` · 9/10 · MAY g5 BEGIN: YES
15	L2	g5 catalogue application	PASS_WITH_REQUIRED_REPAIRS	8	canonical g5 dataset trustworthy for g6; both required findings closed	git:6f4a7fe	PASS_WITH_REQUIRED_REPAIRS, 8/10
16	L3	g6, first attempt	NOT COMPLETED (external usage limit)	n/a - not completed	gate held OPEN; bounded use only; not self-reviewed	docs/decisions/2026-09-18_stage2_g6_bs15_open_and_bounded_use.md	stays OPEN
17	L4	g7a, first attempts	NOT COMPLETED (fallback reviewer failed)	n/a - not completed	gate held OPEN; failed attempt made durable	docs/decisions/2026-09-18_stage2_g7a_review_attempt_failed.md	stays OPEN
18	L5	g6 family architecture	PASS_WITH_REQUIRED_REPAIRS	6	0 blockers; 8 required repairs applied as errata E-g6-1..8	docs/decisions/2026-09-19_stage2_g6_review_errata.md	`PASS_WITH_REQUIRED_REPAIRS`, 6/10, **0 blockers**
19	L5	g7a historical bridge	PASS_WITH_REQUIRED_REPAIRS	7	0 blockers; 5 required repairs applied as errata E-g7a-1..5; all 8 statuses preserved	docs/decisions/2026-09-19_stage2_g7a_review_errata.md	`PASS_WITH_REQUIRED_REPAIRS`, 7/10, **0 blockers**
