id	panel	extraction	status	template	template_identity	best_label	best_label_lwr	pendant	edpl
TORO_NR_1	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_2	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_3	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_4	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_6	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_7	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_8	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_9	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_10	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_11	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_12	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_13	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_14	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_15	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_16	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
TORO_NR_17	NONRETRON_TORO	UNABLE_TO_EXTRACT_HISTORICAL_CORE_RELIABLY:LOW_IDENTITY	NOT_PLACED_NO_EXTRACT						
