component_id	component_key	n_pairs	fold	T1	T2	T3	T4
CMP00000	N717bfa32e0e37a6e8674a9994534f7e4165d989565f0aebcefb49dfcd65a6054	5711	train	5674	5450	4986	1907
CMP00001	N50ef86798d5dd591ba6e5effdda27151d1d7820e3c43a8980a301cbc1f0da410	4024	train	4009	3684	3518	1026
CMP00002	N1067d328742647c9777551547c1be332083a1dda61243e301a4e5c0adcc2cb46	3455	train	3380	3247	3208	1036
CMP00003	Naf6b790482ce8edde9996dc0debf5e21ccc5b21d6befd4375a0f250e178dcfa2	2917	train	2794	1537	1535	638
CMP00004	N31de7acf5c4717613ae640257507a809e5813609a60d0d43b52c831c59cda1df	1889	train	1854	1619	1615	295
CMP00005	N281949d595244ab78d75d2be5f9a3d301d67bae73b313b5a334fd691bafb58dd	823	val	792	691	540	97
CMP00006	Nabd01a97977366e930b9b9beff953642ec94ce3685befb2ce9babe96a05d2af1	809	test	797	774	762	194
CMP00007	N8d51ce0cb4f8c584ac1fb40fc20ea5eeb90e9e5583fcabfdf2be26ffbbeb45af	735	test	726	701	665	229
CMP00008	N48873a3518ee4ceb1fd89e2e093420caf9de0fdddf4632a974fbe964d87a79c8	696	val	658	632	629	265
CMP00009	Nc90e3209c1485685fb8a35d249f1b5c0a6ef04fff95c61936561026349e1fbb2	530	train	503	1	1	0
CMP00010	N56dc4003a45b151bec026bb3d6d862231bf3e6a6e35c1442281836e2d48e4383	453	train	439	258	250	71
CMP00011	N8de2053ed18cc4f94e8869fc87f97d422c1a3e09cfdffaa1c28cbfbf9cdf7aa1	342	val	335	328	328	109
CMP00012	N4e9af7dadfb79498ab3b56355d2546a3c494a931ca4ff95abab41f2f677cb3eb	280	test	276	274	273	90
CMP00013	Nf430558ea8255c0abd090cd1c286a692793a5f8dc67ed1efd93317608e8a655d	262	test	257	252	244	49
CMP00014	N741196f1e8848c1d81cf621133697d8ddf5e43719152a8204bd0fdb23744394d	258	val	254	253	253	87
CMP00015	N383431ba64b7206e4e00a71c2b1c6f724717ffa78f237718243145eba55b864b	204	train	200	198	198	64
CMP00016	N4d6e8a826b47ecbd9766d71a5bb463bdf75c103b63bf373a776a0cc4c573435e	199	test	199	193	53	19
CMP00017	N20ee4e254de1a8a15a569edf70e5c6739af6ebc393077b9b3d281d051c09ecfe	182	val	175	173	173	46
CMP00018	Nda00ae17244af58b4a1d0c8bcdabad3cacfea673e556c1d568cc0922e4508e9e	179	train	177	157	152	61
CMP00019	N15cbfcd3f9538a351833ab6fcba6348d39ce717e93639696627aeaa8543eb867	168	test	166	146	143	21
CMP00020	N47e193f1aeadf21b75fd633dfcc1e5480c331633142ccf95a9420551273f743b	163	val	160	159	159	37
CMP00021	N13d538bb2d9dd147f7d90ae0b2df35e0979748b487a6d330b6861edfa434f214	159	train	158	158	158	44
CMP00022	Nade17145951ee1a9ed0789104023e0974140306e6d396b309a224b0961cd29f4	154	test	154	0	0	0
CMP00023	N4b20c37c48d7c9a1de532ae718a77dafdcec1972e41ceb9bc287d35e20c9851c	148	val	148	142	142	45
CMP00024	N4a73046ebdf0487a9df4406c9f844988b6ce5e1b56349bf63f3fe7360f417415	144	train	143	0	0	0
CMP00025	Nc0e87d8350d1d01337d6e8532136d8a679e27a8f192edba7fb28061e7457333e	141	test	141	140	140	40
CMP00026	N117dd79ef1fbb655a2f4098f2dd7a8de6273a2e5ba9f3e0474bac2ef7a7ef8d0	129	val	128	125	125	30
