control	expected	observed	result
line01:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line01:master_Retron_merged_oriented.jsonl:flags			PASS
line02:master_Retron_merged_oriented.jsonl:parse_class	blank	blank	PASS
line02:master_Retron_merged_oriented.jsonl:flags			PASS
line03:master_Retron_merged_oriented.jsonl:parse_class	bad_utf8	bad_utf8	PASS
line03:master_Retron_merged_oriented.jsonl:flags			PASS
line04:master_Retron_merged_oriented.jsonl:parse_class	bad_json	bad_json	PASS
line04:master_Retron_merged_oriented.jsonl:flags			PASS
line05:master_Retron_merged_oriented.jsonl:parse_class	not_object	not_object	PASS
line05:master_Retron_merged_oriented.jsonl:flags			PASS
line06:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line06:master_Retron_merged_oriented.jsonl:flags	V01	V01	PASS
line07:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line07:master_Retron_merged_oriented.jsonl:flags	V02|V03	V02|V03	PASS
line08:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line08:master_Retron_merged_oriented.jsonl:flags	V04	V04	PASS
line09:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line09:master_Retron_merged_oriented.jsonl:flags	V05|V06	V05|V06	PASS
line10:master_RVT-GII_merged_oriented.jsonl:parse_class	ok	ok	PASS
line10:master_RVT-GII_merged_oriented.jsonl:flags	V06	V06	PASS
line11:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line11:master_Retron_merged_oriented.jsonl:flags	V07	V07	PASS
line12:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line12:master_Retron_merged_oriented.jsonl:flags	V09a	V09a	PASS
line13:master_Retron_merged_oriented.jsonl:parse_class	ok	ok	PASS
line13:master_Retron_merged_oriented.jsonl:flags	V09b	V09b	PASS
line14:master_ncRNA-anchored_merged.jsonl:parse_class	ok	ok	PASS
line14:master_ncRNA-anchored_merged.jsonl:flags			PASS
line15:master_ncRNA-anchored_merged.jsonl:parse_class	ok	ok	PASS
line15:master_ncRNA-anchored_merged.jsonl:flags	V03|V06	V03|V06	PASS
line16:master_ncRNA-anchored_merged.jsonl:parse_class	ok	ok	PASS
