assessment_id	source_id	region_id	can_define_operational_boundary	operational_output_available	what_it_cannot_do	circularity_risk	basis_assignments
O01	xiong1990	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	PARTIAL	A restatable construction procedure: fix conserved positions by the stated >50%-in-three-of-four-groups rule, then align between them. Plus a block count (7), a total length (178 aa) and 42 conserved positions.	Cannot give a residue range for any individual block. The per-block extents exist only as the printed columns of Figure 1; the text states criteria, not coordinates.	LOW - the criterion is stated in advance of any block and is evaluated on a sequence set assembled before the blocks existed.	X01|X02|X03|X04
O02	xiong1990	domain_1	PARTIAL	Same as O01, minus independent confirmation.	Cannot claim external support: the authors state domain 1 alone was not independently confirmed.	LOW	X07
O03	xiong1990	domain_6	PARTIAL	Same as O01, plus a stated expectation that whole element classes lack a complete block.	Cannot treat a missing domain 6 as evidence of a broken detector; incompleteness was described in the founding source.	LOW	X08
O04	poch1989	motif_A|motif_B|motif_C|motif_D	YES	Consensus sequences with stated invariant residues (4 strictly, 18 conservatively maintained) in fixed linear order inside a 120-210 aa domain. A motif scanner can be built from this directly.	Cannot deliver the numbered partition: these are four motifs, not seven blocks, and the mapping onto domains 3-7 is asserted by a later paper.	NONE - the motifs are defined on RNA-dependent polymerases generally, with no retron or bacterial RT involvement at all.	P01|P02|P04
O05	poch1989	motif_E	NO	Nothing operational; the fifth RT-motif is named only to be excluded from the four.	Cannot be scored as a defined motif on this evidence.	NONE	P03
O06	zimmerly2001	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	PARTIAL	Named subdomains with a per-group conserved-residue count (90 and 94 residues over the whole series) and a consensus figure in which the blocks are drawn.	Cannot supply per-block boundaries from the text. The labels are inherited from three earlier papers and only adjusted here.	MEDIUM - the labels come from the same lineage the later conventions come from, so agreement with them is partly inheritance, not corroboration.	Z01|Z04|Z05|Z10
O07	zimmerly2001	domain_0	PARTIAL	An explicit scope rule that is directly operational as a gating predicate: the region is conserved only between group II intron and non-LTR RTs.	Cannot supply an extent, and cannot license scoring RT0 on classes outside that scope as if a zero there meant absence.	MEDIUM - the scope statement is inherited from an unheld 1999 source via a rename.	Z02|Z03|Z06
O08	zimmerly2001	domain_2a	PARTIAL	A scope-and-strength statement naming the three classes, including retron RTs.	Cannot be treated as a member of the numbered series; the source calls it weakly conserved.	MEDIUM	Z07
O09	zimmerly2001	spacer_4_5|spacer_7_X	YES	Two regions defined operationally by what they lie between, with measured length ranges (1-179 aa and 0-235 aa).	Cannot bound the blocks on either side: a spacer is defined by the blocks, not the reverse.	LOW	Z08
O10	simon2008	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	NO	No construction procedure of its own; it uses the inherited frame. What it does supply is the transferability benchmark: per-class alignable-character counts, and 59 characters alignable across the entire bacterial set.	Cannot define a block. Its numbers are measurements made under the inherited frame, so they test transferability rather than establish boundaries.	HIGH - the classes it measures are detector-defined groups, and the frame it measures them in is inherited from Xiong & Eickbush.	S01|S04|S05|S07
O11	simon2008	domain_0|domain_2a	NO	A restatement of the scope limit, useful as an independent second line for treating 0 and 2a separately.	Cannot define either region; it cites the same unheld 1999 source.	MEDIUM	S02
O12	align000044	rt_domain_whole	YES	A real coordinate boundary in the authors own alignment columns: the RT domain at residues 261-886 of a 1441-column, 66-sequence alignment, plus the full alignment itself.	Cannot subdivide: the record carries no subdomain, RT0-RT7 or motif annotation of any kind, so the numbered blocks cannot be read off it directly. It also records a manual adjustment step that is not reproducible from the record.	NONE - this is the primary artefact itself, predating every later convention, and it was acquired without consulting any comparator.	A01|A02
O13	blocker2005	rt0_spelling|rt1_spelling|rt2_spelling|rt3_spelling|rt4_spelling|rt5_spelling|rt6_spelling|rt7_spelling	NO	The modern spelling and a structural reading of it; plus proteolytic fragment coordinates on one protein (LtrA).	May not define or manufacture the sequence partition: it is Tier-1 structural, registered as not allowed to seed, and it inherits the spelling with citations rather than deriving it.	HIGH if used as a definition source - it already carries the convention under audit; NONE when used only to constrain or falsify.	B01|B02|B03
