path_id	absolute_path	exists	size	what_it_is	contents	hash_state	handling
XTAL_DIR	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_DATA/crystal_structures	YES	54M	experimental structures + prior boundary artifacts	25 PDB entries (21 .pdb, 4 .cif) + 4 boundary files + run_log.txt	per-file sha256 in ASSET_REGISTER	read-only historical - DO NOT MODIFY
STAGE2B_CIF	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/columns/cache/cif	YES	72M	mmCIF for the 26 crystal anchors	25 .cif	not hashed at fetch - VERIFY action open	read-only historical - DO NOT MODIFY
STAGE2B_CHAINS	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/columns/cache/struct_chains	YES	980K	CA-only renumbered anchor chains	26 .pdb	derived, reproducible	read-only historical - DO NOT MODIFY
STAGE2B_CACHE	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/columns/cache	YES	96M	c1-c9 column-framework intermediates incl. foldseek alignment, resmap, struct pairs, dyad env	see ASSET_REGISTER	reproducible given a pinned foldseek	read-only historical - DO NOT MODIFY
STAGE2B_TABLES	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/columns/tables	YES	248K	landed column-framework tables incl. c6 boundary donors	28 .tsv	reproducible	read-only historical - DO NOT MODIFY
RT17_CIF	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/columns_rt17/cache/cif	YES	1.9M	HIV-1 RT outgroup	1 .cif (1RTD)	-	read-only historical - DO NOT MODIFY
RCSB_CIF	/home/borg/RESEARCH-retron-db/ARIS_OUTPUT/rtelem-g2-panels/cache/rcsb_cif	YES	47M	38 mmCIF incl. the non-LTR/R2 comparison class	38 .cif	sha256 per file in a1_fetch_log.tsv	read-only historical - DO NOT MODIFY
RCSB_FASTA	/home/borg/RESEARCH-retron-db/ARIS_OUTPUT/rtelem-g2-panels/cache/rcsb_fasta	YES	1.2M	287 RCSB entry FASTA	287 .fasta	sha256 per file in a1_fetch_log.tsv	read-only historical - DO NOT MODIFY
FETCH_LOG	/home/borg/RESEARCH-retron-db/ARIS_OUTPUT/rtelem-g2-panels/cache/a1_fetch_log.tsv	YES	44K	the RCSB acquisition log	325 rows, all HTTP 200	self-describing	read-only historical - DO NOT MODIFY
ESM_FULL	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fold/pdb	YES	1.2G	ESMFold v1 full-length models (O2)	5109 .pdb	id == sha1(seq)[:16], 5109/5109 verified	read-only historical - DO NOT MODIFY
ESM_SPAN	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fm/span_pdb	YES	1012M	span-sliced models (O6), renumbered 1..N	5256 .pdb	derived, reproducible from ESM_FULL	read-only historical - DO NOT MODIFY
ESM_MESTRE	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fold/mestre	YES	498M	ESMFold models of the Mestre reference set	1919 .pdb	named ids, HEADER_MATCH_UNVERIFIED	read-only historical - DO NOT MODIFY
ESM_LDD557	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fold/ldd557	YES	235M	ESMFold models of the [LIV].DD-only excluded set	1060 .pdb	sha1_16 verified	read-only historical - DO NOT MODIFY
ESM_LDDPDB	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fold/ldd_pdb	YES	113M	ESMFold models of the ldd_clusters set	506 .pdb	sha1_16 verified	read-only historical - DO NOT MODIFY
ESM_KHAN	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test_v4_and_tree/cache/fold/khan171	YES	45M	Khan gold panel models	171 .pdb	named ids, HEADER_MATCH_UNVERIFIED	read-only historical - DO NOT MODIFY
