claim_id	prior_claim	prior_value	prior_source	audit_dimension	what_g3_measures
D1	A reproducible operational definition exists: landmarks at match states 146 (RT3) and 229 (RT5), 99.91% held-out, 214-441x above a positional null, on frame RT17_CORE	states 146 and 229; 99.91%; 214-441x	D_instrument (D1 arm); d_instrument_audit/tables/a6_landmark_concordance.tsv	frame identity; seed dependence; object identity	Whether the landmark states correspond to independently reconstructed conserved regions once carried onto shared LtrA residues, and whether the held-out figure was measured on a seed-contaminated set
D2	RT1 fails its own declared 0.90 concordance bar, at 0.75 in RT17_CORE and 0.62 in a second frame	0.75 and 0.6176	d_instrument_audit/tables/a6_landmark_concordance.tsv	object identity; frame identity	Whether the RT1 scatter reproduces across frames, and what object the RT1 landmark actually lands in when mapped onto the g2 regions. The scientific INTERPRETATION of this failure is deferred to the operator and is not settled here.
D4	Toro's published span sits at approximately anchor -197 to +57, with 80 verbatim matches	-197..+57; 80 matches	prior D4 arm	object identity	Registered; the comparator arm belongs to g7, so g3 records the object and does not re-derive the comparator
D6	Landmark enrichments of 2,657x / 4,936x, Region X family-exclusive	2657x / 4936x	prior D6 arm, withdrawn by the prior work itself at 224x / 445x	withdrawn	Whether the withdrawal stands and whether either value re-enters
A72_EXTERNAL	The 72 anchors are structure-validated external references	72 structure-validated anchors	prior wording, banned by the Stage-2 dossier audit	seed dependence; object identity	Exact-sequence overlap of anchors72 with the model seed, and what the 72 are actually made of
C72	72/72 concordance	72/72	d_instrument_audit/tables/a6_landmark_concordance.tsv	object identity	What the number is: a concordance over truth-defined rows, a sample size, or a self-consistency measurement between two alignments of the same sequences
GOLD175	The gold panel is external to the model	in_model_seed = no	prior d1g_heldout_dyad.tsv, refuted by the prior audit at 44/171	seed dependence	Re-measured exact-sequence overlap of gold175_uniq with the seed
PRODUCERS	63 of 63 RT-DNA producers are COMPLETE, an external referee	63/63, p=0.0141	prior T4; prior audit found 42 of 63 inside the seed	seed dependence	Whether the referee set is external, re-measured
RT0_VOID	Retron RTs lack a homologous RT0: 10.5% occupancy of the N-terminal blocks against 90.0% for group II introns	10.5% vs 89.99%	rt0_rt7_domain_test/tables/rt0_nterminal_vs_core.tsv, rt0_control.tsv	object identity	WHAT REGION was measured. Whether the blocks called RT0-proximal contain the historically relevant RT0 landmark, and how they correspond to the g2 N-terminal conserved region
RT0_FRAME_GAP	The RT0-RT7 frame begins at LtrA 53; Blocker's RT0 alanine A39 lies 14 residues outside it	frame starts at LtrA 53; A39 outside	rt0_rt7_domain_test_v2/FINDINGS.md	object identity	Whether the prior frame excludes the RT0 landmark, and whether the g2 reconstruction covers it
SEVEN_BLOCKS	The RT0-RT7 frame is a seven-way partition with per-block intervals	29 blocks assigned to 8 named intervals	rt0_rt7_domain_test/tables/rt0_rt7_frame.tsv	object identity; frame identity	How many prior blocks are fixed by a published motif rather than interpolated, and how the named intervals correspond to the g2 regions
DOMAIN_PHYLO	The prior phylogeny is domain-based	341-aa tetrad window, Jaccard 0.732 vs the published window	rt0_rt7_domain_test_v4_and_tree/REPORT.md	object identity	Registered as an object-naming defect the prior work itself corrected and banned
VOID_FILE	VOID_DO_NOT_CITE.md must be consulted before quoting any prior figure	referenced by 6 documents	idea-stage/programme/00_INDEX.md and prior trees	provenance	Whether the file exists at all
