terminal	set	protein_len	status	mcc_start	mcc_end	mcc_len	N_anchor_occ	C_anchor_occ	core_occ	rt0_zone_residues	core_start_route1	core_end_route1	core_start_route2	core_end_route2	delta_start	delta_end	frac_core_blocks_agree_within_2
terminal_1	CLEAN	311	EXTRACTABLE	25	241	217	1.0	1.0	0.962	12	40	231	41	231	-1	0	0.8
terminal_2	CLEAN	311	EXTRACTABLE	25	241	217	1.0	1.0	0.962	12	40	231	41	231	-1	0	0.8
terminal_3	CLEAN	311	EXTRACTABLE	23	240	218	1.0	1.0	0.951	14	40	231	41	231	-1	0	0.88
terminal_4	CLEAN	310	EXTRACTABLE	23	240	218	1.0	1.0	0.967	14	40	231	41	231	-1	0	0.84
terminal_5	CLEAN	347	EXTRACTABLE	51	276	226	1.0	1.0	0.962	20	77	267	78	267	-1	0	0.84
terminal_6	CLEAN	310	EXTRACTABLE	25	240	216	1.0	1.0	0.951	12	40	230	41	230	-1	0	0.92
terminal_7	OTHER_SUBSTITUTE	310	EXTRACTABLE	17	239	223	1.0	1.0	0.962	20	40	230	41	230	-1	0	0.8
terminal_8	CLEAN	314	EXTRACTABLE	23	242	220	1.0	1.0	0.967	14	40	232	41	232	-1	0	0.76
terminal_9	CLEAN	312	EXTRACTABLE	21	240	220	1.0	1.0	0.967	13	40	231	41	231	-1	0	0.76
terminal_10	CLEAN	312	EXTRACTABLE	16	240	225	1.0	1.0	0.945	21	40	231	41	231	-1	0	0.92
terminal_11	CLEAN	304	EXTRACTABLE	48	267	220	1.0	1.0	0.962	13	67	258	68	258	-1	0	0.84
terminal_12	CLEAN	340	EXTRACTABLE	48	267	220	1.0	1.0	0.962	13	67	258	68	258	-1	0	0.84
terminal_13	CLEAN	313	EXTRACTABLE	21	240	220	1.0	1.0	0.94	13	40	231	41	231	-1	0	0.96
terminal_14	CLEAN	319	EXTRACTABLE	22	241	220	1.0	1.0	0.929	15	40	231	41	231	-1	0	0.96
terminal_15	CLEAN	313	EXTRACTABLE	22	237	216	1.0	1.0	0.962	15	40	228	41	228	-1	0	0.84
terminal_16	CLEAN	310	EXTRACTABLE	25	235	211	1.0	1.0	0.945	12	40	228	41	228	-1	0	0.92
terminal_17	CLEAN	309	EXTRACTABLE	25	238	214	1.0	1.0	0.973	12	40	228	41	228	-1	0	0.84
terminal_18	CLEAN	313	EXTRACTABLE	21	240	220	1.0	1.0	0.984	13	40	231	41	231	-1	0	0.76
terminal_19	CLEAN	313	EXTRACTABLE	25	240	216	1.0	1.0	0.989	12	40	231	41	231	-1	0	0.84
terminal_20	CLEAN	307	EXTRACTABLE	5	235	231	1.0	1.0	0.956	24	40	225	41	225	-1	0	0.84
terminal_21	CLEAN	304	EXTRACTABLE	23	232	210	1.0	1.0	0.956	13	39	223	40	223	-1	0	0.92
terminal_22	CLEAN	305	EXTRACTABLE	15	238	224	1.0	1.0	0.973	19	40	228	41	228	-1	0	0.84
terminal_23	CLEAN	312	EXTRACTABLE	24	243	220	1.0	1.0	0.978	13	40	233	41	233	-1	0	0.88
terminal_24	CLEAN	312	EXTRACTABLE	22	243	222	1.0	1.0	0.951	15	40	233	41	233	-1	0	0.72
terminal_25	CLEAN	312	EXTRACTABLE	18	243	226	1.0	1.0	0.978	16	40	233	41	233	-1	0	0.88
terminal_26	CLEAN	356	EXTRACTABLE	59	281	223	1.0	1.0	0.956	16	86	271	87	271	-1	0	0.92
terminal_27	CLEAN	360	EXTRACTABLE	69	286	218	1.0	1.0	0.973	13	88	276	89	276	-1	0	0.88
terminal_28	CLEAN	306	EXTRACTABLE	21	236	216	1.0	1.0	0.951	16	40	226	41	226	-1	0	0.8
terminal_29	CLEAN	312	EXTRACTABLE	22	238	217	1.0	1.0	0.973	15	40	228	41	228	-1	0	0.84
terminal_30	CLEAN	313	EXTRACTABLE	22	237	216	1.0	1.0	0.967	13	40	228	41	228	-1	0	0.84
terminal_31	CLEAN	305	EXTRACTABLE	24	234	211	1.0	1.0	0.951	13	40	224	41	224	-1	0	0.88
terminal_32	CLEAN	307	EXTRACTABLE	24	236	213	1.0	1.0	0.973	13	40	226	41	226	-1	0	0.84
terminal_33	CLEAN	313	EXTRACTABLE	25	238	214	1.0	1.0	0.967	12	40	229	41	229	-1	0	0.84
terminal_34	CLEAN	310	EXTRACTABLE	25	240	216	1.0	1.0	0.956	12	40	231	41	231	-1	0	0.88
terminal_35	CLEAN	310	EXTRACTABLE	7	237	231	1.0	1.0	0.967	22	40	228	41	228	-1	0	0.84
terminal_36	CLEAN	307	EXTRACTABLE	21	237	217	1.0	1.0	0.967	13	40	228	41	228	-1	0	0.84
terminal_37	CLEAN	307	EXTRACTABLE	7	237	231	1.0	1.0	0.962	22	40	228	41	228	-1	0	0.84
