id	candidate_quantity	definition	truth_source_or_none	evidence_source	identifiable	reason	allowable_claim	prohibited_phrasing	unit	frame	denominator
Q01	existence of conserved sequence regions	whether positions of elevated cross-group conservation exist in the RT domain at all	the derivational alignment itself, against a residue-shuffle null	g2_conserved_positions.tsv; g2_null_model.tsv; g2_second_frame.tsv	ESTABLISHABLE	81 conserved columns in ALIGN_000044 and 82 in an independent MAFFT re-alignment of the same 66 proteins; the residue-shuffle null returns 0 in every one of 200 replicates (mean 0.00, max 0, empirical p=0.0050). A declared positive control and a declared null both exist and both behave.	conserved positions exist in the RT domain and are not a compositional artefact	nothing beyond the derivation substrate; this is not a claim about Stage-1 sequences	alignment column	ALIGN_000044 RT domain columns 261-886	626 columns of the stated RT domain
Q02	region ordering	whether the conserved regions occur in a fixed linear order, and whether a detector reproduces that order on a query sequence	the derivation alignment for the reference order; the query's own residue order for the test	g2_frame_correspondence.tsv; g2_second_frame_blocks.tsv; g3_prior_region_correspondence.tsv	ESTABLISHABLE	no region reorders between the two independent frames: the 7 frame-2 regions are an ordered refinement of the 6 frame-1 regions, produced by splitting one region. g3 independently finds the prior landmark ORDER preserved, with 27 of 28 prior landmark placements inside a g2 region and monotone in LtrA coordinates. Ordering is checkable on any query without external truth, because it is a property of the query's own residue numbering.	ordered-architecture recovery rate: the fraction of inspectable query sequences on which the detector emits regions in the derivation order	must not be called accuracy; an ordered output is not a correct output	ordered region series	LtrA residue coordinates, shared by both frames	6 regions in frame 1 vs 7 in frame 2
Q03	localization of the catalytic dyad landmark	residue offset between the observed catalytic [YF]xDD in a query sequence and the interval the detector predicts for the dyad-carrying region	the query sequence itself - motif occurrence is determined by the residues, not by any model	g2_landmark_recovery.tsv H05; g2_positive_controls.tsv C1,C2; g3_prior_frame_correspondence.tsv block 23 YADDFVI	ESTABLISHABLE	this is the only landmark in the whole track whose position on an arbitrary query is determinable independently of any model, alignment or prior frame. g2 located it at ALIGN_000044 column 783 / LtrA residue 306 WITHOUT using it to place any boundary, so using it as a held-out check is not circular - conditional on the hard constraint that it never enters derivation, scoring or threshold selection (see derivation_allowlist.tsv, rule R-DYAD).	landmark localization offset, in residues, with its distribution and its non-detection rate	must not be called boundary accuracy; locating one motif is not delimiting a region	residues	query sequence native numbering	sequences in the declared arm that carry a detectable [YF]xDD
Q04	region presence and non-detection	per (query sequence, region) call state from the declared vocabulary of launcher section 7a	none for regions other than the dyad-carrying one	launcher section 7a; g2_landmark_recovery.tsv	PARTIALLY_ESTABLISHABLE	for the dyad-carrying region a genuine event label exists on any query that carries the motif, so presence is checkable there. For every other region there is no label of any kind: nothing external states whether a given RT protein contains region 2 or region 6. Call-state DISTRIBUTIONS remain reportable, and non-detection is never read as biological absence.	call-state distribution per region with inspectability retained; presence checking for the dyad-carrying region only	must not report presence accuracy, sensitivity or recall for any non-dyad region; must not read NOT_DETECTED as absence	call state	declared arm	inspectable sequences in that arm
Q05	approximate region location	whether a predicted region interval falls in the expected position relative to an independently determinable anchor or to the same detector under perturbation	partial - the dyad anchor, plus self-consistency	g2_frame_correspondence.tsv; g2_block_uncertainty.tsv	PARTIALLY_ESTABLISHABLE	approximate location is measurable in exactly two ways, and both are honest only under their own name: relative to the dyad (Q03), or as reproducibility across perturbation (Q10). It is NOT measurable against a stated correct location, because none exists.	approximate localization relative to the catalytic dyad; or localization stability. Never both conflated.	must not be called localization accuracy without naming which of the two it is	residues	query sequence native numbering	as declared per arm
Q06	start-coordinate accuracy	difference in residues between a predicted region start and the true region start	NONE	g2_block_uncertainty.tsv; g2_landmark_recovery.tsv H01,H11	UNESTABLISHED	no population supplies a true start. The derivation bundle itself declares edge_precision_claim=INTERVAL_ONLY for all six regions because the primary sources state a procedure and no residue edges. Start dispersion across the declared 150-setting sweep is 21, 54, 39, 58, 43 and 5 columns for regions 1-6. Blocker's LtrA M1-R85 / R86-R364 are the zone edges of a DIFFERENT two-way partition, not per-region starts, and PDB structures carry a different representation (fingers/palm/thumb) that launcher section 5d forbids substituting.	none	START_ACCURACY may not be reported, estimated, approximated or renamed	alignment column	ALIGN_000044 RT domain	150 parameter settings in the declared sweep
Q07	end-coordinate accuracy	difference in residues between a predicted region end and the true region end	NONE	g2_block_uncertainty.tsv	UNESTABLISHED	as Q06. End dispersion across the sweep is 24, 52, 47, 72, 41 and 3 columns for regions 1-6; the largest, 72 columns on region 4, is larger than four of the six regions are wide.	none	END_ACCURACY may not be reported	alignment column	ALIGN_000044 RT domain	150 parameter settings in the declared sweep
Q08	full boundary accuracy	joint correctness of a predicted region start and end against true boundaries	NONE	Q06 and Q07	UNESTABLISHED	BOUNDARY_ACCURACY = UNESTABLISHED. This is the load-bearing negative result of the redesign and it is declared before any method is chosen, not after one fails. The launcher's own g4 kill criterion already contemplates this outcome.	the explicit declaration that boundary accuracy is unestablished, with the reason	no substitute metric may be computed and then called accuracy	residues	n/a	n/a - the quantity has no denominator because it has no truth
Q09	boundary uncertainty	dispersion of inferred region edges across an ensemble of admissible derivational perturbations	the perturbation ensemble itself, not biology	g2_block_uncertainty.tsv; g2_parameter_sweep.tsv; g2_second_frame.tsv	ESTABLISHABLE	the 150-setting parameter sweep and the second alignment frame are already landed and constitute two of the ensemble's axes; derivation-sequence bootstrap adds a third. The resulting interval is a property of the procedure and is named accordingly.	operational_boundary_stability_interval, reported as median edge plus 50/90/95 percent empirical stability bands and a multimodal-placement flag	must not be called a 95 percent confidence interval on a true boundary, nor a credible interval, nor error bars on a boundary	alignment column or residue	declared perturbation ensemble	settings in the declared ensemble
Q10	localization stability under perturbation	intersection-over-union of region intervals between the reference derivation and each perturbed derivation	the ensemble	g2_frame_correspondence.tsv	ESTABLISHABLE	already instantiated once at n=2 frames: per-region cross-frame Jaccard on LtrA residues is 0.739, 1.000, 0.911, 0.410, 0.955 and 1.000, median 0.955. The measure is well defined, has a landed precedent, and separates stable regions from region 4 unambiguously.	region-interval stability, per region, with the unstable regions named	must not be called validation, and must not be pooled into a single stability number that hides region 4	Jaccard or IoU	LtrA residue coordinates	matched regions in the ensemble
