id	criterion	kind	arm	declared_threshold	rationale	consequence_if_failed	may_be_weakened	unit	denominator
AC1	the instrument recovers a known-present case: under leave-one-out on the 66 derivation proteins, the observed catalytic [YF]xDD lies inside the predicted dyad-carrying region interval	POSITIVE CONTROL	A6	at least 95 percent of the 66 folds	governance requires a positive control before any absence or non-detection claim; and an instrument that cannot find the dyad on its own derivation substrate cannot be read on anything else	g4 lands as an impossibility result; the detector is not frozen; g5 does not run	NO	fold	66 leave-one-out folds
AC2	the instrument can fail: composition-preserving shuffles and non-RT decoys do not receive confident calls	NULL CONTROL	A5	at most 1 percent of 1000 shuffles receive PRESENT_HIGH_CONF on any region	a detector that calls everything has no information; g2's own C4 control FAILED and that failure is why block count is not a target here	the method is withdrawn before any of its other numbers is read	NO	replicate	1000 shuffles plus the declared non-RT set
AC3	region-interval stability is measured and regions are classified by it	STABILITY	A1	median IoU at least 0.70 across the declared perturbation ensemble for a region to be reported as STABLE	the landed cross-frame Jaccards are 0.739, 1.000, 0.911, 0.410, 0.955, 1.000; a 0.70 bar separates region 4 from the rest and was chosen from the landed distribution before any new derivation, not after	regions below the bar are reported as UNSTABLE and carry no interval claim; region 4 is expected to fail and that expectation is recorded now	NO	region	regions in the ensemble
AC4	transferability is reported, not thresholded	DESCRIPTIVE	A3, A4	no pass/fail bar	launcher section 1: failure to transfer is a result, not a failed track. Setting a bar here would create an incentive to tune toward it	none - the number is the result	n/a	sequence	inspectable sequences per stratum
AC5	structural correspondence is reported as containment, not as agreement	DESCRIPTIVE	A2	no pass/fail bar	fingers/palm/thumb is a different representation; a disagreement is a finding about two instruments, not a detector error	none - the number is the result	n/a	structure	structures in the arm after exclusions
AC6	every landed number names its frame, stratum, unit and denominator, resolved through a claim registry built before execution	REPORTING	all	100 percent; an unresolved entry fails the build	launcher section 9d; failed-review blocker 17 - a promise is not a registry	the bundle does not build	NO	claim	entries in the claim registry
AC7	BOUNDARY_ACCURACY and BOUNDARY_CALIBRATION are declared UNESTABLISHED in the bundle, the report and the model card	DECLARATION	all	binding	estimand_matrix.tsv Q08 and Q16; declared before any method is chosen so that it cannot be read as an excuse after one fails	n/a - this is an output, not a test	NO	declaration	n/a
AC8	no RT0 occupancy of any kind is produced, and RT0 is reported OUT_OF_FRAME outside admissible classes	DECLARATION	all	binding	g2 created no RT0 block, g3 returned OBJECT_MISMATCH, and the defining cross-class claim is NOT_TESTABLE_ON_SUBSTRATE. U01 remains open	n/a	NO	declaration	n/a
AC9	region 1 / RT1 is scored by the same preregistered rule as every other region, with no region-specific threshold or post-hoc method choice	DECLARATION	all	binding	failed-review repair 9; and U08 - the interpretation of the RT1 failure remains an operator decision and is not settled by g4	n/a	NO	declaration	n/a
AC10	the portable package passes its acceptance tests: invalid residues, fragments, low-complexity input, multi-hit sequences, shuffled and non-RT decoys, out-of-distribution input, byte-reproducibility of a rerun, and split/merge behaviour on the unstable region	PACKAGE	n/a	all tests present and passing, or the package does not ship	failed-review repair 14	the detector is not frozen and g5 does not run	NO	test	tests declared in the package
