method_id	method	derivation_data	tunable_parameters	parameter_budget	development_set	threshold_selection_set	untouched_evaluation	primary_estimand	secondary_estimands	metric	success_threshold	failure_consequence
M0	null / negative control - composition-preserving shuffles and non-RT decoys scored by whichever method is under test	n/a	none	0	n/a	n/a	A5	false-positive call rate	call-state distribution on decoys	fraction of decoys receiving PRESENT_HIGH_CONF on any region	at most 1 percent	any method exceeding 1 percent is withdrawn before its other numbers are read
M1	column-profile / PSSM baseline over the conserved-position set, ungapped local scan	ALIGN_000044 RT-domain columns and the 81-position conserved set only	score threshold; window; pseudocount scheme	at most 12 configurations, enumerated before execution	the 66 derivation proteins under leave-one-out	A1 leave-one-out plus A5 negatives	A2, A3, A4	Q03 dyad localization offset	Q02 ordered-architecture rate; Q10 stability IoU	median absolute residue offset; ordered fraction; median IoU	see acceptance_criteria.tsv AC1-AC3	recorded as a result; a baseline that fails is informative, not hidden
M2	profile HMM built on the ALIGN_000044 RT-domain alignment as submitted, with per-column posterior giving core-membership	ALIGN_000044 as submitted - no reseeding, no iterative expansion, no prior model	architecture prior; entropy weighting; domain E-value and per-column posterior thresholds	at most 12 configurations, enumerated before execution	as M1	as M1	A2, A3, A4	Q03	Q02; Q10; Q04 call-state distribution	as M1	as M1	as M1
M3	frozen residue-level representation plus a linear decoder over conserved-column membership - RUN ONLY IF a pinned local protein LM already exists and a measured pilot fits the budget	the 66 derivation proteins' column labels only; the representation model is frozen and never fine-tuned	decoder regularization only	at most 6 configurations	as M1	as M1	A2, A3, A4	Q03	Q02; Q10	as M1	as M1	inability to run is recorded, not fatal. Sophistication is not a selection criterion
RULE-1	all methods are scored on the same arms, with the same splits, the same estimands and the same metrics	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	a comparison across different quantities is not a comparison
RULE-2	no method sees A2, A3 or A4 during derivation, development or threshold selection	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	violation voids the arm
RULE-3	rule R-DYAD: no method may use the catalytic motif in its derivation, features, scoring or thresholds	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	a method that uses the motif forfeits Q03 and Q15, which are the only identifiable landmark and calibration estimands in the track
RULE-4	the winner is the SIMPLEST method that meets the acceptance criteria and transfers most stably, not the highest-scoring one	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	if M1 meets the criteria, M2 and M3 are reported as comparators and M1 is frozen
RULE-5	uncertainty on every comparison is clustered by derivation-identity stratum and by family, never computed as if sequences were independent draws	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	near-identical relatives inflate apparent precision
RULE-6	no region-specific threshold. One preregistered rule applies to every region, including region 1 / RT1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	failed-review repair 9: RT1 may not be rescued by tuning
