asset	identity	allowed_for_derivation	allowed_for_threshold_selection	allowed_for_validation	allowed_as_comparator	reason	circularity_risk
ALIGN_000044 alignment and data file	sha256_aln af570a4e8fb357f239992e4dacbd261dbdc0c3f6ca801f3a1b6ceb3429682a01; sha256_dat eeb96b456fe11dea151fe391c7bd464d5afc39be4d7ba707c326fa9e038cae66; 66 proteins, 1441 columns	YES	YES	NO	NO	the primary derivational alignment Zimmerly 2001 adjusted its inherited labels against; tier 'derivational primary' under launcher section 5d	NONE for derivation by construction; it defines the frame. It may never also serve as a validation population - that is self-consistency, not validation
the 66 ALIGN_000044 proteins as sequences	g2_reference_sequence_set.tsv, 66 rows	YES	YES	NO	NO	the derivation substrate	as above
Xiong and Eickbush 1990 stated conservation criterion	g1 assignment X04; encoded in control/reconstruction_parameters.tsv	YES	YES	NO	NO	a textual rule, not a fitted artefact; applied verbatim	NONE - the criterion was declared before any block was counted
Zimmerly 2001 stated textual criteria	g1 assignments Z04, Z06, Z08, Z10, Z11	YES	YES	NO	NO	derivational primary text	LOW - Z11 states the catalytic motif lies in subdomain 5; this is an ORDERING statement, not a boundary, and is used only to number regions after reconstruction
g2 conserved-position set	g2_conserved_positions.tsv, 81 strict columns in the RT domain	YES	YES	NO	NO	a deterministic function of ALIGN_000044 and the stated criterion	NONE beyond the substrate itself
g2 parameter sweep and block uncertainty	g2_parameter_sweep.tsv 150 settings; g2_block_uncertainty.tsv	YES - as the perturbation ensemble only	YES	NO	NO	supplies the stability ensemble of Q09/Q10	MEDIUM - the reporting-point partition must NOT be used as a target label. Only the ensemble as a whole enters
g2 second frame - MAFFT FFT-NS-2 re-alignment	sha256 72df82689db9499dc6003d2d5eefc8e2eff1ea81280289cab62544772d00e6a4	YES - as a perturbation replicate only	YES	NO	NO	an independent alignment of the same 66 proteins; it is a replicate, not an independent population	MEDIUM - same sequences, different alignment. It measures alignment sensitivity and nothing else
g2 reported six-region partition	g2_reconstructed_blocks.tsv	NO	NO	NO	YES - as one member of the ensemble	this is the single reporting point the failed review objected to being reified. It is one draw from a 150-setting sweep whose block count does not separate from a column-permutation null at any gap	HIGH - reifying it as target truth is blocker 2 of the failed review and is the reason this record exists
catalytic [YF]xDD motif occurrence	determined from query residues	NO - rule R-DYAD	NO - rule R-DYAD	YES	YES	RULE R-DYAD, binding: the catalytic motif may not enter the detector's derivation, its scoring function, its feature set, or any threshold selection. Only then is dyad containment a held-out check rather than a tautology. Any method that uses the motif forfeits Q03 and Q15 entirely.	HIGH if violated, NONE if the rule holds. This rule is what makes Q03 and Q15 identifiable at all
all167.faa	sha256 48d48faadcc82434479459cfd492c92809a641a335764920cb16baa7a5d72c2d, 167 sequences	NO	NO	NO	YES - audit only	the old seed. Structure-selected, annotation-carrying and 87.43 percent exactly present in Stage-1	HIGH
anchors72 - all 72	42 RETRON_ plus 26 PDB_ plus 4 UNIPROT_	NO	NO	NO	YES - audit only	72 of 72 are seed members by construction; 46 of 72 are also members of the retron population they were used to score	HIGH
