region_id	region_name	series	rt0_rt7_scope	verdict	classes_anywhere	boundary_kinds_anywhere	n_sources_naming_it	sources_naming_it	may_receive_a_boundary_later	unit	frame	stratum	denominator
domain_0	domain/subdomain 0	numbered_rt_series	RT0_SEPARATE	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|ALIGNMENT_BLOCK|EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	2	simon2008,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_1	domain/subdomain 1	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_2	domain/subdomain 2	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_3	domain/subdomain 3	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_4	domain/subdomain 4	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_5	domain/subdomain 5	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_6	domain/subdomain 6	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
domain_7	domain/subdomain 7	numbered_rt_series	RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|INHERITED_WITHOUT_DEFINITION|MOTIF_EVIDENCE|ALIGNMENT_BLOCK	NONE	3	simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series	32 region names in scope
rt_domain_whole	RT domain (whole)	whole_domain	CONTAINER	STATED_RESIDUE_BOUNDARY	ALIGNMENT_BLOCK|EXPLICIT_STATED_BOUNDARY	RESIDUE_COORDINATE	5	align000044,blocker2005,simon2008,xiong1990,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	whole_domain	32 region names in scope
domain_2a	domain/subdomain 2a	numbered_rt_series_insertion	OUTSIDE_RT1_RT7	DERIVABLE_PROCEDURE	TERMINOLOGY_ONLY|EXPLICIT_STATED_BOUNDARY	SCOPE_RULE	2	simon2008,zimmerly2001	YES	region name	derivational primary literature plus the acquired primary alignment (launcher 5d)	numbered_rt_series_insertion	32 region names in scope
