assignment_id	source_id	region_ids	evidence_class	boundary_kind	verification	page_locator	quote	note	unit	denominator
X01	xiong1990	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	4	Seven peptide regions (domains 1-7) containing 178 amino acids were found to be common to all elements.	The origin of the seven-way numbered partition in the held evidence set. A block count and a total length, on an alignment; no residue coordinates for any individual block.	quoted passage	assignments declared in control/
X02	xiong1990	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	9	conserved residues present in each RT sequence were used to identify the seven domains. Alignment of residues between these fixed positions was by the Unitary Matrix (UM) method	The stated construction method: fixed conserved residues first, alignment between them second. This is a reproducible procedure, not a drawn boundary.	quoted passage	assignments declared in control/
X03	xiong1990	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	4	we have identified 42 conserved positions that contain identical or chemically similar residues in the majority of the 82 RT sequences analyzed in this report	The conserved-position evidence underlying the blocks, with its own denominator of 82 sequences.	quoted passage	assignments declared in control/
X04	xiong1990	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	4	To be classified as a conserved position the residues had to be present in over 50% of the RT elements from three of the four most abundant groups of RT-containing elements	An explicit, quantitative, restatable inclusion criterion. This is the textual-criteria route of launcher section 5e, and it succeeds.	quoted passage	assignments declared in control/
X05	xiong1990	domain_3|domain_4|domain_5|domain_6|domain_7|regions_a_e	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	4	In the case of Poch et al. (1989) the five motifs identified (regions a-e) correspond to our domains 3-7.	The stated correspondence between the Poch motif partition and the numbered partition; the cross-walk is the authors own, not this project's.	quoted passage	assignments declared in control/
X06	xiong1990	domain_2|domain_3|domain_4|domain_5	MOTIF_EVIDENCE	NOT_A_BOUNDARY	VERIFIED	4	In the case of Webster et al. (1989) the four blocks identified correspond to our domains 2-5.	A second independent confirmation, for a different subset of the series.	quoted passage	assignments declared in control/
X07	xiong1990	domain_1	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	4	Thus of the seven shared domains shown in Figure 1 only domain 1 has not been independently confirmed.	The authors own statement that one of the seven carries weaker support than the rest. Retained because it is the block a later concordance failure would most plausibly involve.	quoted passage	assignments declared in control/
X08	xiong1990	domain_6	ALIGNMENT_BLOCK	NOT_A_BOUNDARY	VERIFIED	4	Most of the RNA viruses did not have a complete domain 6, a situation similar to the RT elements of the copia/Tyl group.	Whole element classes lack a complete block. Block absence was a described phenomenon in 1990, not a detector artefact introduced later.	quoted passage	assignments declared in control/
Z01	zimmerly2001	domain_1|domain_2|domain_3|domain_4|domain_5|domain_6|domain_7|struct_palm|struct_fingers	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	1	The RT domain forms the bulk of the ORF and consists of subdomains 1-7 [palm and finger regions in the crystal structure of HIV-RT (6)]	The subdomain numbering, stated as composition and mapped to structure by analogy. Naming plus an analogy is not a boundary.	quoted passage	assignments declared in control/
Z02	zimmerly2001	domain_0	TERMINOLOGY_ONLY	NOT_A_BOUNDARY	VERIFIED	1	Subdomain 0 can be considered an N-terminal extension of the RT domain and is conserved among non-LTR RTs.	Subdomain 0 introduced as an extension of the domain rather than as a member of the series.	quoted passage	assignments declared in control/
