gid	instances	class_modal	centre_median	ref_topology	ref_from_median	ref_to_median	offset_median
09ea76dd9b8fdd4d	3	LEADER_UTR_OR_RBS_REGION	-44.0	other_uncertain	1192.0	1466.0	-1373.5
125ed024481686be	20	THE_REFERENCE_NCRNA	-76.5	overlaps_RT_start	-247.5	21.0	34.75
1a20d44d94436c19	19	THE_REFERENCE_NCRNA	-199.0	upstream	-228.0	-10.0	-74.5
1c6f584d09f0a5e6	19	THE_REFERENCE_NCRNA	-62.0	overlaps_RT_start	-232.0	21.0	43.5
252d3ea9cf1c984b	15	THE_REFERENCE_NCRNA	-127.5	upstream	-238.0	-104.0	42.0
2613b4c80ec96f07	7	THE_REFERENCE_NCRNA	-44.0	overlaps_RT_start	-248.0	21.0	71.0
29c9146923c64dba	20	THE_REFERENCE_NCRNA	-114.5	overlaps_RT_start	-244.0	15.0	-0.5
318981fcc560bcd4	19	THE_REFERENCE_NCRNA	-162.0	upstream	-233.0	-17.0	-38.0
35e8a719e7fd949b	10	THE_REFERENCE_NCRNA	-78.5	overlaps_RT_start	-291.0	20.0	56.75
4deaafe66612f533	7	THE_REFERENCE_NCRNA	-195.5	overlaps_RT_start	-261.0	21.0	-76.5
4f2157d3ded3ffae	9	THE_REFERENCE_NCRNA	-90.0	overlaps_RT_start	-244.0	15.0	23.5
52c6d134f8abe7a0	8	THE_REFERENCE_NCRNA	-42.0	overlaps_RT_start	-236.5	20.0	65.0
5b0aa8588cbc7388	19	THE_REFERENCE_NCRNA	-58.0	overlapping_adjacent_CDS	-178.0	-39.0	50.5
5c694a9dbecbf1a5	6	THE_REFERENCE_NCRNA	-62.25	overlapping_adjacent_CDS	-184.0	-38.0	48.0
6687b64b00cdcc94	16	THE_REFERENCE_NCRNA	-139.75	upstream	-184.5	-7.0	-44.0
69239d0154af3bfd	9	THE_REFERENCE_NCRNA	-41.0	overlaps_RT_start	-247.0	21.0	71.5
6ce60f5761400513	7	THE_REFERENCE_NCRNA	-133.0	overlaps_RT_start	-238.0	21.0	-24.5
7cbd1dbfc01a08c1	18	THE_REFERENCE_NCRNA	-68.5	overlapping_adjacent_CDS	-186.0	-44.5	52.5
87c68f39addcee63	6	THE_REFERENCE_NCRNA	-126.0	overlaps_RT_start	-246.0	21.0	-13.5
8ea0f62d7be41161	9	THE_REFERENCE_NCRNA	-46.0	overlaps_RT_start	-246.0	21.0	68.0
9c62f124538e32ab	6	THE_REFERENCE_NCRNA	-59.75	overlaps_RT_start	-220.5	23.0	39.5
b0ff681bfbf1325f	20	THE_REFERENCE_NCRNA	-208.0	upstream	-238.0	-106.5	-35.5
b630657b1d23f4f3	8	THE_REFERENCE_NCRNA	-58.5	overlapping_adjacent_CDS	-191.0	-15.0	45.0
b8eeae5f28771610	7	THE_REFERENCE_NCRNA	15.0	overlaps_RT_start	-249.0	21.0	128.0
bac6c7563fc9cf37	7	THE_REFERENCE_NCRNA	-135.0	overlaps_RT_start	-220.0	21.0	-37.5
c26da08c55d02a6a	4	UNRESOLVED_CONSERVED_ELEMENT	21.25	other_uncertain	1102.0	1384.5	-1222.75
d23118e6dedf1b94	13	THE_REFERENCE_NCRNA	-65.5	overlapping_adjacent_CDS	-195.0	-33.0	49.5
d81884f7ac0bc0bd	6	THE_REFERENCE_NCRNA	-88.75	overlaps_RT_start	-213.5	58.5	-10.5
e0471f3ef2ba301b	11	THE_REFERENCE_NCRNA	-127.0	overlapping_adjacent_CDS	-218.0	-80.0	20.5
e923f79b3ab4fe4a	19	THE_REFERENCE_NCRNA	-75.0	overlaps_RT_start	-222.0	21.0	24.5
edf2cb5ceb162a6e	18	THE_REFERENCE_NCRNA	-68.0	overlaps_RT_start	-257.0	24.0	48.5
ee69c83053518f46	8	THE_REFERENCE_NCRNA	-191.25	overlaps_RT_start	-253.5	21.0	-74.25
f912462ef8e39dad	8	THE_REFERENCE_NCRNA	-93.5	upstream	-221.0	-5.0	19.5
fcc32fc7cc5e7a2b	11	THE_REFERENCE_NCRNA	-64.5	overlapping_adjacent_CDS	-187.0	-40.0	48.0
