control	expected	observed	result
up_plus:direction	upstream	upstream	PASS
up_plus:signed_distance_bp	-100.0	-100.0	PASS
up_plus:gap_bp	100.0	100.0	PASS
up_plus:overlap_bp	0.0	0.0	PASS
up_plus:same_strand	True	True	PASS
up_plus:geometry_eligible	True	True	PASS
up_plus:canonical	True	True	PASS
up_plus:n_cds_between	0	0	PASS
down_plus:direction	downstream	downstream	PASS
down_plus:signed_distance_bp	100.0	100.0	PASS
down_plus:geometry_eligible	True	True	PASS
down_plus:n_cds_between	0	0	PASS
up_minus:direction	upstream	upstream	PASS
up_minus:signed_distance_bp	-100.0	-100.0	PASS
up_minus:same_strand	True	True	PASS
up_minus:geometry_eligible	True	True	PASS
down_minus:direction	downstream	downstream	PASS
down_minus:signed_distance_bp	100.0	100.0	PASS
down_minus:geometry_eligible	True	True	PASS
abutting:direction	upstream	upstream	PASS
abutting:signed_distance_bp	0.0	0.0	PASS
abutting:gap_bp	0.0	0.0	PASS
abutting:overlap_bp	0.0	0.0	PASS
overlapping:direction	overlapping	overlapping	PASS
overlapping:signed_distance_bp	0.0	0.0	PASS
overlapping:overlap_bp	10.0	10.0	PASS
opposite_strand:direction	upstream	upstream	PASS
opposite_strand:same_strand	False	False	PASS
opposite_strand:geometry_eligible	True	True	PASS
two_cds_between:n_cds_between	2	2	PASS
two_cds_between:direction	upstream	upstream	PASS
ncrna_on_a_cds:n_cds_overlapping_ncrna_recomputed	1	1	PASS
ncrna_on_a_cds:direction	upstream	upstream	PASS
outside_window:geometry_eligible	False	False	PASS
outside_window:geometry_ineligible_reason	ncrna_outside_window	ncrna_outside_window	PASS
strand_missing:geometry_eligible	False	False	PASS
strand_missing:geometry_ineligible_reason	ncrna_strand_missing	ncrna_strand_missing	PASS
dup_in_record:multiplicity_class	duplicate_call_within_one_record	duplicate_call_within_one_record	PASS
dup_in_record:canonical	False	False	PASS
two_seqs:multiplicity_class	distinct_sequences	distinct_sequences	PASS
same_locus_db2:multiplicity_class	same_call_from_another_record_of_the_same_locus	same_call_from_another_record_of_the_same_locus	PASS
same_locus_db1:multiplicity_class	same_call_from_another_record_of_the_same_locus	same_call_from_another_record_of_the_same_locus	PASS
gap_bp abutting	0	0	PASS
gap_bp 1 base between	1	1	PASS
overlap_len book-ended is 0	0	0	PASS
overlap_len 1 base	1	1	PASS
direction minus strand higher coords is upstream	upstream	upstream	PASS
signed distance is None without a strand	None	None	PASS
bin_label boundary 100 is <=100	51-100	51-100	PASS
bin_label 101 is the next bin	101-200	101-200	PASS
zero_class_counts_the_call_free_locus	1	1	PASS
