claim_id	claim	status	estimate	ci_95	inference_unit	n_units	primary_source	scope_limit
X2.C01	Specific RT sequence information improves prediction of the cognate ncRNA beyond broad retron type	SUPPORTED	R-T = -0.02470	[-0.02907, -0.02037]	component	1075	tables/COMPONENT_LEVEL_EFFECTS.tsv	Out-of-fold, component-blocked. Predictive improvement only; no mechanism implied.
X2.C02	That improvement replicates the X1 pilot in direction and magnitude	SUPPORTED	X1 -0.01778 vs X2 -0.02470; 65.0% vs 64.9% components favour R	[-0.02907, -0.02037]	component	1075	RESULTS.md 2.1	Internal replication on the SAME population; not external validation.
X2.C03	The improvement survives the high-independence T4 stratum	SUPPORTED	R-T = -0.02594	[-0.03508, -0.01731]	component	247	tables/COMPONENT_LEVEL_EFFECTS.tsv	DESIGN 3 predicted this might stay UNDETERMINED; prediction was wrong in the favourable direction.
X2.C04	The improvement is not an artefact of near-duplicate sequences	SUPPORTED	R-T = -0.02532	[-0.03410, -0.01682]	component	284	tables/COMPONENT_LEVEL_EFFECTS.tsv	Frozen near-duplicate-excluded sensitivity population.
X2.C05	The improvement is not carried by a single fold	SUPPORTED	mean -0.02446, sd 0.00921, 5/5 folds same sign	per-fold CIs all exclude zero	component	1075	tables/FOLD_HETEROGENEITY.tsv	
X2.C06	The improvement is robust to optimization seed	SUPPORTED	-0.02470 / -0.03674 / -0.02093	all three CIs exclude zero	component	1075	tables/SEED_STABILITY.tsv	Seeds bound optimization variance only; they do not add biological samples.
X2.C07	Specific RT beats a coarse 50%-identity homolog-group representation	SUPPORTED (DIRECTION ONLY)	R-G = -0.00551	[-0.00797, -0.00312]	component	1075	tables/LINEAGE_CONTROL.tsv	Sign stable across 3 seeds; MAGNITUDE NOT DETERMINED (range -0.0055 to -0.0156, sd 0.0051).
X2.C08	Most of the RT-associated gain is explained at the homolog-lineage level	SUPPORTED	G-T = -0.01919 of R-T = -0.02470	[-0.02339, -0.01498]	component	1075	tables/LINEAGE_CONTROL.tsv	The specific-RT increment beyond lineage is the small remainder.
X2.C09	Observed RT beats a same-retron-type counterfactual	SUPPORTED	C1 delta = +0.01766	[+0.01533, +0.01994]	component	1019	tables/COUNTERFACTUAL_EFFECTS.tsv	Weakest of the four controls; ~10x easier than C4.
X2.C10	Observed RT beats a length-matched same-type counterfactual	SUPPORTED	C2 delta = +0.01543	[+0.01291, +0.01786]	component	832	tables/COUNTERFACTUAL_EFFECTS.tsv	Excludes gross length/truncation artefacts.
X2.C11	Observed RT beats its nearest ESM-C embedding neighbours	SUPPORTED (WEAK)	C3 delta = +0.00397	[+0.00202, +0.00586]	component	1073	tables/COUNTERFACTUAL_EFFECTS.tsv	Only 52.5% of PAIRS favour observed: near chance at pair level.
X2.C12	Observed RT beats an alternative from its own 50%-identity cluster	SUPPORTED (VERY SMALL)	C4 delta = +0.00168	[+0.00101, +0.00251]	component	451	tables/COUNTERFACTUAL_EFFECTS.tsv	Statistically non-zero but ~10x smaller than C1. Significance is not substantive discrimination.
X2.C13	Counterfactual discrimination decays as alternatives become more similar	SUPPORTED	C1 +0.01766 > C2 +0.01543 > C3 +0.00397 > C4 +0.00168	see per-tier CIs	component	1019/832/1073/451	tables/COUNTERFACTUAL_EFFECTS.tsv	~10-fold decay C1 -> C4.
X2.C14	Pair-level discrimination approaches chance under the strongest controls	SUPPORTED	52.5% of pairs favour observed at C3; raw pair-level mean -0.000205 (median +0.000187)		pair	30922	tables/COUNTERFACTUAL_EFFECTS.tsv	Component-level mean is positive (+0.003974) while the raw PAIR-level mean is nominally negative: a weighting effect, since component-level aggregation gives every independent component equal weight. Forbids any per-pair biological reading.
X2.C15	Some gain comes from conditioning on a realistic RT representation independent of correct pairing	SUPPORTED	P-T = -0.00590	[-0.01109, -0.00023]	component	1075	tables/PERMUTATION_CONTROL.tsv	Within-type deranged RTs still beat the type label (~24% of R-T). R-P = -0.01880.
