source_set	path	N	sequence_kind	RT_classes	family_labels	publication_or_source	selection_rule	experimental_status	historical_role	overlap_with_other_sets	allowed_derivation_role	allowed_validation_role	known_conditioning
ALIGN_000044	results/rt07_g2_reference_reconstruction/reference/g2_reference_set.faa	66 records, 65 unique	full-length group II intron ORFs, ungapped 599-687 aa	ONE - group II intron RTs only	none; 4 HOST-COMPARTMENT groups (mitochondrial 29, bacterial 20, algal/chloroplast 11, euglenoid 6)	Zimmerly, Hausner & Wu 2001 NAR 29:1238-1250, submitted to EMBL as ALIGN_000044	the authors' own curated group II intron ORF set; manual alignment adjustment is NOT reproducible (g2 U05)	none	THE historical derivational substrate; the alignment Zimmerly adjusted its inherited RT0-RT7 labels against	1 exact with all167 (LtrA); 0 with GOLD171; 10 exact with myRT RTs-collection; 11 myRT seeds contained	YES for Stage 2A historical reconstruction - it is the primary source	NO - it is the derivation set; using it to validate is self-consistency	single RT class; host-compartment sampling driven by what was sequenced by 2001; contains one duplicate sequence pair
myRT family seed FASTAs	.../myRT/Models/HMM/*.fst (45 canonical)	1,988 records, 1,986 unique	RT-domain FRAGMENTS, median 201 aa, range 72-283	45 - GII-I, GII-II, DGRs, Retrons, AbiA, AbiK, AbiP2, CRISPR-G1..G5, G2L, G2L4, G2Lb, G2Lc, UG1-UG28b	45 canonical family labels	Sharifi & Ye 2022 NAR 50:e29	buildRVT.sh: hmmscan RTs-collection.faa against cdd-PfamA, take RVT_1 hits, EXCISE with cut -c start-stop, filter short, Muscle-align	none	the model set whose labels Stage 1 used	0 exact with every legacy set BY CONSTRUCTION (fragments); by containment 17/1988 in all167, 12 in anchors72, 13 in GOLD171 (all RVT-Retrons), 11 in ALIGN_000044 (all GII)	YES - this is the strongest available broad-diversity derivation material for Stage 2B, IF launcher 5d tier rules are amended	NO for family assignment (same instrument as Stage-1 labels); NO for RT0 (excised)	Pfam RVT_1 window excision; family imbalance DGRs 416 vs UG20 8; labels are the classification system we would later test
myRT RTs-collection.faa	.../myRT/Models/RTs-collection.faa	2,339, all unique	FULL-LENGTH proteins, median 365-663 aa by family, max 1,879	38 real + NotUsed (136) + UNC (1)	40 label tokens, a DIFFERENT vocabulary from the seeds (GII not GII-I/GII-II)	Sharifi & Ye 2022, the BLAST database of the myRT distribution	the curated full-length collection the seeds were excised from	none	source of the seeds	1,835 of 1,988 seeds are exact substrings of it; 10 exact with ALIGN_000044; 7 with all167	YES - the only broad, family-labelled, FULL-LENGTH local collection. Required for any RT0 or N-terminal question	NO for family assignment	same family system; 136 sequences labelled NotUsed
myRT RVT-ref.fst	references/rt0_rt7/myrt/myRT-FastTree2.refpkg/RVT-ref.fst	1,844, all unique	RT-domain fragments, median 201 aa	as the seeds	via Mapping	myRT reference package, create_date 2021-06-09	filtered RVT_1 fragments used for the reference tree	none	phylogenetic placement reference	1,828 of 1,844 are also family seeds - 99.1 percent, not an independent collection	redundant with the seeds; no additional derivation value	NO	three package files have checksums disagreeing with the manifest (launcher 5c); may not be called the checksum-verified package
Toro 2014 RT0-RT7 blocks	references/rt0_rt7/historical/toro_2014_Rt0-Rt7.FASTA	742 records, 741 unique	ALIGNED block sequences, all 1,466 columns wide, ungapped median 255 aa	broad bacterial RTs including retrons, GII, and uncharacterised groups	none in-file; Table S1 carries the assignments	Toro & Nisa-Martinez 2014 PLoS ONE, comprehensive bacterial RT phylogeny	the authors' RT0-RT7 block extraction across bacterial RTs	none	the closest published analogue of what Stage 2B would build	0 exact with all167; 1 at >=90 percent identity (landed pre-g4 audit)	CONTESTED - launcher 5d tier 'published comparators' forbids seeding. This is the central fork; see the decision record	YES as a comparator for Stage 2C crosswalk	already carries an RT0-RT7 interpretation, so seeding from it would import the very partition Stage 2 is testing
Mestre 2020 supplementary	references/rt0_rt7/mestre_2020/*.csv	1,928 data rows across 3 header variants of one table	tabular assignments, NOT sequences	retrons only	retron types	Mestre et al. 2020 NAR 48:12632-12650	systematic retron prediction	none	the lineage GOLD171 routes through	GOLD171 is Mestre-derived	NO - no sequences in the local copy	comparator only	retron-only; the panel's conditioning
Toro 2026 SPIRE type HMMs	references/rt0_rt7/toro_2026/SPIRE_retron_type_specific_HMMs.tar.gz	30 type HMMs + calibration_thresholds.tsv (32 archive entries)	profile HMMs	retrons only	retron types I-A .. XI	Toro 2026 bioRxiv 2026.05.14.725207	retron type-specific models	none	newest retron typing system	unmeasured	NO	comparator only, Stage 2C / g7	retron-only
all167 old seed	.../stage2b_assessor_redesign/step3_hmm/cache/all167.faa	167, all unique	full-length	mixed; retron-weighted	CAND family calls	prior project	anchors72 + 95 structure-selected CAND	26 PDB members	the old instrument's seed	87.43 percent exactly present in Stage-1; 44 shared with GOLD171	NO - quarantined	audit/comparator only	structure-selected, boundary-annotated before inclusion
anchors72	.../step3_hmm/cache/anchors72.faa	72, all unique	full-length; 7 His6, 1 SUMO, 3 thrombin, 1 Strep tagged	mixed	n/a	prior project	42 on RTDNA_DEMONSTRATED >= 0.10, 26 RCSB, 4 UniProtKB	26 have structures	old anchor set	72/72 inside all167	NO - quarantined	NO	inside the seed by construction
GOLD171	.../anchors/cache/a9_retron_gold.faa	171, all unique	full-length	retrons only	retron	Mestre-derived / support.csv lineage	literature retron panel	activity data for a subset	retron literature challenge panel	44 exact with all167, entirely via anchors72	NO	YES as a retron-focal challenge arm, in strata	44/171 seed overlap is non-random, routing through activity-demonstrated members
