item	expected	observed	when_detected	scientific_effect	repair	results_before_repair_invalidated
within_family_independence.Retrons	family fragments into components so an INDEPENDENT challenge set exists	3 component(s); largest = 93 of 95 (97.9%)	repaired split, before any repaired analysis was interpreted	no independent within-family held-out set exists at the declared separation rule: the family is one homology component. Any within-family transfer or generalisation claim for this family is unsupportable	PREDECLARATION_ADDENDUM_1 §3.3: derivation drawn deterministically from the dominant component (ids sorted, first k); remainder labelled NON_INDEPENDENT_CHALLENGE; no transfer claim made from it. Threshold NOT lowered	YES for the original bundle's within-family transfer/holdout claims for this family
pilot_cap.GII	<= 90	111	original bundle, re-checked at repair time	predeclaration violation: the original pilot exceeded the declared cap; population size and therefore every per-family statistic differed from the declared design	components are now dealt only while the family total stays <= 90; a component that would overshoot is skipped	YES for that family's landed per-family statistics
within_family_independence.GII	family fragments into components so an INDEPENDENT challenge set exists	2 component(s); largest = 495 of 496 (99.8%)	repaired split, before any repaired analysis was interpreted	no independent within-family held-out set exists at the declared separation rule: the family is one homology component. Any within-family transfer or generalisation claim for this family is unsupportable	PREDECLARATION_ADDENDUM_1 §3.3: derivation drawn deterministically from the dominant component (ids sorted, first k); remainder labelled NON_INDEPENDENT_CHALLENGE; no transfer claim made from it. Threshold NOT lowered	YES for the original bundle's within-family transfer/holdout claims for this family
pilot_cap.DGRs	<= 90	97	original bundle, re-checked at repair time	predeclaration violation: the original pilot exceeded the declared cap; population size and therefore every per-family statistic differed from the declared design	components are now dealt only while the family total stays <= 90; a component that would overshoot is skipped	YES for that family's landed per-family statistics
within_family_independence.DGRs	family fragments into components so an INDEPENDENT challenge set exists	1 component(s); largest = 488 of 488 (100.0%)	repaired split, before any repaired analysis was interpreted	no independent within-family held-out set exists at the declared separation rule: the family is one homology component. Any within-family transfer or generalisation claim for this family is unsupportable	PREDECLARATION_ADDENDUM_1 §3.3: derivation drawn deterministically from the dominant component (ids sorted, first k); remainder labelled NON_INDEPENDENT_CHALLENGE; no transfer claim made from it. Threshold NOT lowered	YES for the original bundle's within-family transfer/holdout claims for this family
within_family_independence.CRISPR	family fragments into components so an INDEPENDENT challenge set exists	2 component(s); largest = 125 of 129 (96.9%)	repaired split, before any repaired analysis was interpreted	no independent within-family held-out set exists at the declared separation rule: the family is one homology component. Any within-family transfer or generalisation claim for this family is unsupportable	PREDECLARATION_ADDENDUM_1 §3.3: derivation drawn deterministically from the dominant component (ids sorted, first k); remainder labelled NON_INDEPENDENT_CHALLENGE; no transfer claim made from it. Threshold NOT lowered	YES for the original bundle's within-family transfer/holdout claims for this family
within_family_independence.UG3	family fragments into components so an INDEPENDENT challenge set exists	1 component(s); largest = 86 of 86 (100.0%)	repaired split, before any repaired analysis was interpreted	no independent within-family held-out set exists at the declared separation rule: the family is one homology component. Any within-family transfer or generalisation claim for this family is unsupportable	PREDECLARATION_ADDENDUM_1 §3.3: derivation drawn deterministically from the dominant component (ids sorted, first k); remainder labelled NON_INDEPENDENT_CHALLENGE; no transfer claim made from it. Threshold NOT lowered	YES for the original bundle's within-family transfer/holdout claims for this family
role_diversity.UG5.derivation	>1 independent component	1 component	repaired split	that role is a single separation group, so it does not represent diverse held-out sequence structure	reported and the role is flagged SINGLE_COMPONENT; the split is not forced	NO - the role is retained but its diversity claim is downgraded
role_diversity.UG5.challenge	>1 independent component	1 component	repaired split	that role is a single separation group, so it does not represent diverse held-out sequence structure	reported and the role is flagged SINGLE_COMPONENT; the split is not forced	NO - the role is retained but its diversity claim is downgraded
role_diversity.AbiA.derivation	>1 independent component	1 component	repaired split	that role is a single separation group, so it does not represent diverse held-out sequence structure	reported and the role is flagged SINGLE_COMPONENT; the split is not forced	NO - the role is retained but its diversity claim is downgraded
