path	role	sha256	note
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/RTs-collection.faa	read_only_source	5efac6053021ba054692b10d50a7980768d81a500c6df1b829b345bbc654e5c9	1259707 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-All.hmm	read_only_source	74556bd21fd92b947af2759878c3433361b442f2499a62492166a5416971e25e	3892396 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/buildRVT.sh	read_only_source	2436e8cf4c71588375f65de397a261bcc0c151ffdaae9d3d2eed7ef9b192341b	2597 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/List	read_only_source	08c442460cc1844802865385c01d6b4bec928c869ae250de4e1aacc6671f4032	418 bytes
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/myrt/Suppl_Toro_Tree.txt	read_only_source	ea0ee646d9dacc33eada8603a412578c9bab2753a362d49c7a0894e70c89be31	726580 bytes
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/results/dbchar_g4_family_baseline/tables/g4_exact_rt_per_family_label.tsv	read_only_source	08ca1b8daef0d7b1d4b57d658556a3a65c20a88e7865735251c00bfc33e74b41	3754 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-AbiA.fst	read_only_source	c7c73588f4fa7ac89f499a6e4ba24ecd411b5af57b950542c3ae3dc83de7ddd9	5498 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-AbiK.fst	read_only_source	58bd02f5045b5444d8e003a6c8682c594850f981ae15789f575923f0c9b1d519	2347 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-AbiP2.fst	read_only_source	5f734040619aa7dafdb7e58ee2ea3e76bf556625d08441696bf8ce0618d01c6d	11257 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-CRISPR-G1.fst	read_only_source	dd4989af7d74cfda2faac498c9e32bf306af63999614f0638c1d1c4ffe823d71	3117 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-CRISPR-G2.fst	read_only_source	47a00f2409f01bc06a91c220dfc40d5d5fd85135fb197df55b6001a4646334dc	6861 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-CRISPR-G3.fst	read_only_source	2e154a3aa0f8dd1f716c0511fd0f339fc2a12e9bbbf7f8f7e5d9b096d0959c9b	4699 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-CRISPR-G4.fst	read_only_source	79bccdd50a55a9ec360b21b2bc4dbf6b37d57be0c8f51e1877c8b4782b9529ea	1545 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-CRISPR-G5.fst	read_only_source	4c681c492521b95c752d70864401f47bcd8ed150f67f4f98e34f49efc8e0e8ad	15350 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-CRISPR-like.fst	read_only_source	60b853b3e2e584c134e7cc50411fd2909bdd0379d4ed289c9f76f323967e450f	2820 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-DGRs.fst	read_only_source	cdd5de7fb8a8fb2adb3c2af6366bc97e988436db146042e28d8a3b4f1bb9a1f7	207757 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-G2L4.fst	read_only_source	f68a51a82e61d77c5b0b7850df3bfae8c5aeee2dd38d4849b455cd15fa44124e	5193 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-G2Lb.fst	read_only_source	814805fb182584c91a3f78c21309c821cb2286555b306fa40d795bc5b495b80b	2361 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-G2Lc.fst	read_only_source	4b86f79aa9429a0bd651cfe946a884b98d6e994824c32c8b52f2a1fdab2e3ed7	1549 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-G2L.fst	read_only_source	2c0a369ca698886e8358d80945e8546e1315946828f41034f7abb150c0cdaf3a	7181 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-GII-I.fst	read_only_source	a6bbc2e3b0a56e74fb90c2b44298dc4709f0edee7072a1164f1f6caaaa226cb3	73203 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-GII-II.fst	read_only_source	406771d252780631ac9b22ee93d458931f180cca772433e8d3077947858c0e86	102062 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-Retrons.fst	read_only_source	609c0e05c11cd4ba455d1b24311d0153797b2899ec5831d5a5f68361528ee562	36234 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-test.fst	read_only_source	b56f551211a846854868acdabd71710985c14cdfee76bd8472a384f1c89e78fe	5189 bytes
/home/borg/RETRONS_january_2026/the-retron-project/src/myRT/Models/HMM/RVT-UG10.fst	read_only_source	4cc718192865b7b713a593b9323b5a4ef935632d600402f57236339f6b7deaed	4833 bytes
