method	version_or_id	purpose	task	status	validated	independent_of_annotation_lineage	known_limitation
rtmap conserved-state mapper	rtmap-1.0.0/53a1e738a19b3896 (instrument sha256 53a1e738...c331f5)	map conserved HMM states to residues in individual RT proteins	Stage 2 g4b/g5	FROZEN, in production	YES - 7 predeclared conditions met on one fresh lineage (UG25)	YES (no ncRNA input)	GII-centred frame: median MAPPED 0.94 GII -> 0.49 Retron; scope is hhmake -M 50 only; no residue-level external truth
hhmake / HH-suite	hhmake -M 50 (convention frozen)	profile construction for the mapper	Stage 2	FROZEN	scope-limited	YES	under -M a2m the all-partner core collapses to 0 states for DGRs and AbiA; -M 60 equivalence not claimed
GII.deriv.hmm profile	LENG 471, sha256 292495a4...	defines the 150-anchor coordinate system	Stage 2 g4a_repaired	FROZEN	n/a - definitional	YES	derived from 66 group II intron ORFs containing ZERO retrons
PDP (BioJava LocalProteinDomainParser)	BioJava 7.1.4, alpha=1.3/3	structural domain decomposition	Stage 3A	CLOSED at FAIL	PARTIAL - external CATH validation passed narrowly (count agreement 0.6100 vs 0.6 bar)	YES	replicate partition agreement only 0.385; 8/30 single-domain CATH chains over-split; the PDP application note itself was unreadable (403)
mkdssp / pydssp	mkdssp 4.5.5 vs pydssp 0.9.1	secondary structure assignment	Stage 3A	VALIDATED	YES - kappa 0.9864 (E) / 0.9811 (H), 62/62 chains pass	YES	TRANSFER_READINESS.md still carries a stale 'mkdssp BROKEN' statement
Foldseek	10.941cd33 (sha256 ce5f08d8...)	structural superposition / relatedness	Stage 3A/3B	FROZEN	n/a	YES	all 31 biological groups fall into ONE structural cluster (93% of 465 pairs TM>=0.50)
stage3b-detector-1.0	tightest Asp-Asp carboxylate pair in a frozen window	motif-blind catalytic-site detection	Stage 3B	STOPPED on kill criterion K5	NO - in-sample only	YES (anti-circularity self-test PASS)	SEP_MIN 75 / SEP_MAX 115 / D_MAX 6.0 A all derived from the SAME 19 truth pairs; Tier B never opened; LOCO 12 HIT / 5 MISS / 2 ABSTAIN
ESM-C	300M, EvolutionaryScale/esmc-300m-2024-12, frozen	RT protein representation	embeddings g1, X1, X2	FROZEN, no weights updated	n/a	YES	highly compressed: median nearest-training cosine 0.987, so generalisation is measured over NEAR homology only
RiNALMo	giga-v1 (weights sha256 cd93c3f2...f321c0db), frozen	ncRNA representation	embeddings g1	FROZEN, no weights updated	n/a	NO - its type-probe accuracy is near-tautological (label assigned to that sequence by an alignment model)	see left
CCA cross-modal retrieval	k=32, alpha=0.01 (validation-selected)	RT<->ncRNA retrieval ladder	embed_g2	CLOSED - rung 3 FAILED	YES for the gate; escalation correctly refused	NO - decoys matched on a CM-derived label	two of five trivial baselines were inert by construction
X1/X2 conditional decoder	causal cross-attention decoder adapted from the OpenCRISPR release; 665,355 shared decoder params	conditional ncRNA likelihood given an RT representation	embed_x1, embed_x2	X2 CLOSED (fdf0872)	YES within scope - 5 preregistered criteria met; interpretation narrowed	PARTIAL - arm T conditions on a CM-derived type label; arms G and P are protein-side	internal cross-fitted confirmation only; no external validation; effect 0.0017-0.0177 nats/nt
mmseqs2 / cd-hit-est clustering	mmseqs --min-seq-id 0.50 -c 0.8; cd-hit-est -c 0.80 -aS 0.8 -n 8 -T 1	relatedness blocking for the split	embed_g2b	FROZEN, deterministic (no RNG)	YES - 0 of 16,458 ncRNAs appear in >1 fold	YES	cluster-disjoint is NOT homology-disjoint: 82.46% of held-out RTs have a >=0.50-id training relative
Infernal cmsearch + padlocdb.cm	21 covariance models, all authored by Mestre MR	ncRNA (msr-msd) detection	Stage 1 corpus (upstream), all ncRNA work	PRODUCTION (inherited)	NO independent validation in this project	NO - this IS the annotation lineage	no GA lines (so --cut_ga returns nothing); types VI, VII, VIII, X, XI, XII have no dedicated model; winner-take-all model selection
CMfinder	as used by SPIRE and (historically) by Mestre to build the CMs	de novo ncRNA motif discovery	SPIRE Round 1/2	CLOSED at ROUND2_FAIL_STOP	NO - failed its own held-out gates	NO - same paradigm that produced the CMs	a fixed positional interval outperforms it (901 vs 343)
MCC-v3.1 + phylogenetic placement (LWR)	frozen at e047fdc	extract RT0-RT7 and place queries into Mestre's 11 clades	Mestre M2a	CLOSED as a stopped/failed validation attempt (033bfcb)	NO - control gate K3 FAILED	NO	shuffled queries confidently placed at 7.9%; LWR shuffled median 0.998; extractability 82.1% vs a written >=90%
blastn (panel vs corpus)	NCBI blastn, >=90% identity over >=80% of query length, plus strand	measure published-ncRNA overlap with the corpus	SPIRE pubval; reused by this package	REUSED, not recomputed	n/a	YES	80 of 175 published ncRNAs match; exact-hash matches are only 12, which measures boundary disagreement
