bundle_id	task	status	commit	path_relative_to_its_worktree	scientific_conclusion	review_status	reusable_downstream	superseded_or_stale_files	open_issues
dbchar_g1_corpus_identity	Stage 1 - corpus identity pin	CLOSED / REPRODUCIBLE	8f3ea78	results/dbchar_g1_corpus_identity	43 files, 3,358,182 lines, manifest sha256 8e9b7999...41d00; anchor populations file-pure	no independent review (Stage-1 gates were not externally reviewed)	YES - the pin every later count rests on	-	human_input_audit PENDING
dbchar_g2_canonical_units	Stage 1 - analytical units	CLOSED / REPRODUCIBLE	27ae7aa	results/dbchar_g2_canonical_units	501,561 exact RTs; no two units convert by a constant (1.11-5.49 loci per exact RT); back-translation 99.47%	none	YES - defines every denominator	-	human_input_audit PENDING
dbchar_g2b_rt_cds_recovery	Stage 1 - RT CDS recovery	CLOSED / REPRODUCIBLE	2b13a9e	results/dbchar_g2b_rt_cds_recovery	31,504 CDS-less records explained: 14,188 RECOVERED, 16,688 SEQUENCE_ONLY, 628 ILL_POSED	none	YES	-	the Prodigal/internal-stop mechanism is PROPOSED, not established
dbchar_g3_pair_geometry	Stage 1 - RT-ncRNA geometry	CLOSED / REPRODUCIBLE	2b13a9e	results/dbchar_g3_pair_geometry	344,154 canonical placements: 94.5% upstream, median gap 55 bp, 99.8% same strand, 94.41% zero CDS between; 30,924 exact pairs	none	YES - produces PAIR-ELIG	-	the README itself concedes the upstream and same-strand figures are partly circular
dbchar_g4_family_baseline	Stage 1 - family baseline	CLOSED / REPRODUCIBLE	8e56a53	results/dbchar_g4_family_baseline	per-family RT length and completeness on exact RTs; MULTI and CROSS kept as strata	none	YES	-	-
dbchar_g5_metadata_sampling	Stage 1 - metadata / sampling	CLOSED / REPRODUCIBLE	5636735	results/dbchar_g5_metadata_sampling	a completeness filter can speak for only 412,261 of 1,653,827 genome entries (24.93%)	none	YES	-	the join is a description, not a test
dbchar_g6_tool_calls	Stage 1 - tool calls	CLOSED / REPRODUCIBLE	ab50f34	results/dbchar_g6_tool_calls	THE EXTRACTION ASYMMETRY: ncRNA carriage 89.23% -> 13.50% across tool combinations (6.6-fold); DF/PADLOC subtypes agree 43.85%	none	YES - the key methodological result	-	the PADLOC-drives-the-gradient reading is PROPOSED
dbchar_g7_stage1_report	Stage 1 - closeout report	CLOSED / REPRODUCIBLE	5e74794	results/dbchar_g7_stage1_report	assembles 70 declared values from landed tables; computes no science	none	YES - reporting pattern	-	-
dbchar_g7b_stage1_extended_report	Stage 1 - extended report	CLOSED / REPRODUCIBLE	8c8e5cf	results/dbchar_g7b_stage1_extended_report	153 resolved values over 13 sections	none	YES with corrections	TWO CIRCULAR POSITIVE-CONTROL CLAIMS (Ec107-like 98.6%; the '>=2 of three lines' stratum)	repair T0-7 proposed, not applied
rt07_g1_history_and_definition	Stage 2 - what RT0-RT7 ever meant	CLOSED	558ee89	results/rt07_g1_history_and_definition	of 32 region names in the held sources, ONE has a stated residue boundary	none	YES	-	Malik 1999 (the defining RT0 source) is NOT held
rt07_g2_reference_reconstruction	Stage 2 - landmark reconstruction	CLOSED	7fa61b4	results/rt07_g2_reference_reconstruction	conserved positions and gap structure beat their nulls; the BLOCK COUNT does not (p = 0.6965)	none	YES	-	the seven-way partition is NOT ESTABLISHED
rt07_g3_prior_method_replication	Stage 2 - prior claims	CLOSED	7a73520	results/rt07_g3_prior_method_replication	2 of 13 prior claims reproduced; 3 circular or seed-dependent	none	YES	-	prior RT0-RT7 frames are not independent evidence
rt07_g4a_repaired	Stage 2 - mapper development	CLOSED	7a73520	results/rt07_g4a_repaired	the GII.deriv.hmm profile (LENG 471) that defines the coordinate system	-	YES - holds the profile	rt07_g4a_frame_recovery is its predecessor	scope is -M 50 only
rt07_ug25_confirmatory	Stage 2 - confirmatory holdout	CLOSED	7a73520	results/rt07_ug25_confirmatory	all 7 predeclared conditions met on one fresh lineage (UG25); 0 exact overlaps with construction	reviewed as part of Stage-2 closure	YES	-	transfer beyond UG25 is not claimed
rt07_g4b_production_mapper	Stage 2 - FROZEN INSTRUMENT	FROZEN / production	dd9cdae	results/rt07_g4b_production_mapper	rtmap-1.0.0/53a1e738a19b3896; packaging review 9/10	packaging-reviewed	YES - the instrument	control/CROSSWALK_RT0_RT7.tsv is deliberately all-UNRESOLVED	-
rt07_g5a_eligibility_census	Stage 2 - THE denominator	CLOSED	6f4a7fe	results/rt07_g5a_eligibility_census	369,381 eligible of 501,561 (0.7365); ineligible 132,180 censused and retained	-	YES - every rate needs this	-	eligibility is non-uniform across strata
rt07_g5_catalogue_application	Stage 2 - catalogue application	CLOSED	6f4a7fe	results/rt07_g5_catalogue_application	354,102 inspectable (0.9586); CATALYTIC_CONFIRMED 343,880 = 0.9653 of CAT-mapped	application review: both REQUIRED findings closed	YES	-	DELETED_STATE != absent region; abstention != absence
rt07_g6_family_architecture	Stage 2 - descriptive concordance	CLOSED - descriptive only	049d7ab	results/rt07_g6_family_architecture	split-half concordance 0.9865 across 36 MyRT-defined strata; exceeds the cluster-level null but NOT the sequence-level null	INDEPENDENT REVIEW PASS_WITH_REQUIRED_REPAIRS 6/10, 0 blockers	YES for Stage-3 structural mapping ONLY	figure captions require the erratum wording	thesis-level biological claims and classification reassessment are BLOCKED on the evidence
rt07_g7a_rt0_rt7_bridge	Stage 2 - historical bridge	CLOSED - TERMINAL	34db87f	results/rt07_g7a_rt0_rt7_bridge	4 ESTABLISHED / 2 PARTIAL / 2 UNRESOLVED, all LtrA-local; RT0 and RT1 NOT IDENTIFIABLE	INDEPENDENT REVIEW PASS_WITH_REQUIRED_REPAIRS 7/10, 0 blockers; all 8 statuses upheld	YES, bounded by the erratum	tables/g7a_closure_decision.tsv downstream_may_say column is SUPERSEDED by docs/errata/g7a_closure_decision_erratum_2026-09-19.tsv	RT0/RT1 may not be resolved by inference
rt07_stage2_final_report	Stage 2 - final reporting package	COMPLETE (reporting only)	46414f4	results/rt07_stage2_final_report	19 claims / 94 evidence links; 19-review ledger; 13 negative results	fail-closed build; verify.sh 9/9	YES - the thesis reporting pattern	-	human_input_audit PENDING; local only (origin/main is at 94a1a78)
cat3b_g1_population_freeze	Stage 3B - population freeze	CLOSED	67c137b (worktree-stage3c)	results/cat3b_g1_population_freeze	62 chains / 31 unique sequences; resolution cut 3.5 A	-	YES	the launcher body still says '60 RT chains'	-
cat3b_g2_contract_and_thresholds	Stage 3B - contract and thresholds	STOPPED on kill criterion K5 (labelled 'CLOSED at PARTIAL' - a MISLABEL)	67c137b (worktree-stage3c)	results/cat3b_g2_contract_and_thresholds	in-sample Tier-A recovery 13/19 = 0.684; out-of-sample LOCO 12 HIT / 5 MISS / 2 ABSTAIN; K5 fired (decoy pool 23 vs >=60)	no independent review	ONLY as in-sample calibration material	the PARTIAL label itself (repair T0-1); no hit/abstention/false-fire bar was ever declared	Tier B never opened and its PASS branch was unreachable (0 HARD_PAIR chains)
stage3a_structural_core	Stage 3A - structural decomposition	CLOSED at FAIL	67c137b (worktree-stage3c)	analysis/stage3a_structural_core	palm-like called in 0.565 of 46 primary chains vs a 0.70 bar; 22/22 LOGO folds FAIL; PDP replicate agreement 0.385	Codex R1-R3 cleared the DESIGN to run; the RESULT had no post-hoc independent review	YES - a clean preregistered negative	TRANSFER_READINESS.md and FAILURE_MODES.md F1 carry a stale 'mkdssp BROKEN' claim	no biological positive control: HIV-1 1RTD_A is itself AMBIGUOUS
stage3c_architecture_integration	Stage 3C - architecture integration	COMPLETE but NOT PROMOTABLE - independent review FAIL_BLOCK	bundle 34000ee; review+errata eeaf0ae	analysis/stage3c_architecture_integration	a census across six vocabularies; no verdict merged; every interpretation marked PROPOSED:	INDEPENDENT REVIEW (Codex, model-disjoint): FAIL_BLOCK 4.5/10, 5 BLOCKERS, all upheld	NOT until repairs R1-R5 are authorised and run	STAGE3C_DECISION_REPORT.md and README.md MAY NOT BE READ OR CITED without docs/errata/2026-09-19_stage3c_review_errata.md; claim rows S05, S11, S12 and the Region-X part of S16 are WITHDRAWN	B1: the 13/14 replicate figure is not the declared analysis (truth-bearing scope gives 7/7 from TWO groups vs 0/7). B4: every Region-X motif hit came from an undeclared wide-window fallback; under the declared rule X is defined in 24/62 chains (3/21 retron) and NONE contains NAXXH/AXXH
m2a_reference_reconstruction	Mestre - reference reconstruction / placement	CLOSED as a STOPPED, FAILED validation attempt	b05934f; closure 033bfcb	results/m2a_reference_reconstruction	K3 control gate FAILED: shuffled queries confidently placed at 7.9% (v3.1) / 19.8% (v2) against a <=1% limit	INDEPENDENT REVIEW: Codex FAIL 4.5/10	NO - not repaired, not rerun; M2c/M2d not run	-	K1 INCOMPLETE (AU test cancelled for budget); 64.5 CPU-h against 60 approved, accepted retrospectively
spire_ncrna_audit	SPIRE - de novo ncRNA discovery	CLOSED - branch terminated after held-out failure	ed4a663	analysis/spire_ncrna_audit	ROUND2_FAIL_STOP: G1 enrichment 2.88x vs required 3x; G7 - a fixed interval finds 901 against the method's 343	exploratory, not a governed gate; no independent review	FEATURES ONLY: the ~90-nt submotif and the type-conditioned positional prior	the 'global bug' claim was withdrawn; a NaN-overlap erratum was applied	the features are CM-derived and may never be evaluated against CM truth
embed_g2_frozen_baseline	embeddings - retrieval ladder	CLOSED - escalation refused	2c9127b	results/embed_g2_frozen_baseline	MRR 0.4407 vs chance 0.0900; rung 3 (type-matched decoys) FAILS at +0.0298 [-0.0048, +0.0633]	preregistered; no external review	YES	README failure-mode 3 claims a test that never ran (B-pop / B-model are inert by construction - repair T0-5)	the predeclared rung-0 POSITIVE CONTROL was never run
