claim_id	claim	status	evidence	inferential_unit	denominator	confounders	supporting_files	commit	safe_thesis_wording	prohibited_overclaim
C-01	The mined corpus is identity-pinned and every later count is traceable to it.	ESTABLISHED	43 files, 81,007,695,609 bytes, 3,358,182 lines; record-manifest sha256 8e9b7999...41d00; 0 unparsed records	raw record (line)	3,358,182 lines	one JSON parse of one corpus - contract prices this LOW, not NONE	results/dbchar_g1_corpus_identity	8f3ea78	The analysed record set is pinned by a record-manifest digest that any later gate can regenerate.	Do not call the corpus a census of retron diversity in nature.
C-02	Record, locus, exact RT, taxonomic occurrence and RT-ncRNA pair are non-equivalent units, and none converts to another by a constant.	ESTABLISHED	3,059,700 records -> 2,847,312 loci -> 2,475,684 physical loci -> 501,561 exact RTs; loci per exact RT 1.11 (mgnify_soil) to 5.49 (ncbi_bacteria)	five declared units	3,059,700 RT-anchored records	database-specific redundancy is the measured object, not a confounder	results/dbchar_g2_canonical_units	27ae7aa	The phrase 'unique system' is undefined unless the unit is named; conversion factors between units vary by source database.	Do not quote a single 'number of retrons' without naming the unit.
C-03	RT protein and genomic coordinates agree by back-translation for 99.47% of RT-family records.	ESTABLISHED	3,034,472 of 3,050,688 verified; 618 mismatches RETAINED; independent Biopython re-implementation 1,999/2,000; frame-shift negative control agrees 0 times	raw record	3,050,688 POP-RT-FAM records	-	results/dbchar_g2_canonical_units/tables/g2_bt_status.tsv	27ae7aa	Coordinates and sequences are mutually consistent for 99.47% of records, verified by an independent implementation with a negative control.	Do not present this as validation of the upstream mining pipeline's biology.
C-04	The frozen mapper transfers to one fresh RT lineage under one match-state convention.	SUPPORTED_WITH_LIMITATIONS	all 7 predeclared UG25 conditions met; genealogy audit shows 0 exact overlaps with construction data and 0 of 28 sequences meeting the full link rule	exact RT protein	28 UG25 sequences (FRESH_LINEAGE)	construction substrate is 66 group II intron ORFs containing ZERO retrons	results/rt07_ug25_confirmatory; results/rt07_g4b_production_mapper	dd9cdae	Under hhmake -M 50, the frozen mapper met all seven predeclared conditions in a single confirmatory run on one fresh lineage.	Do not claim universal RT architecture, transfer beyond UG25, robustness under -M a2m, or equivalence under -M 60.
C-05	The eligible Stage-2 denominator is 369,381 exact RTs, of which 354,102 are inspectable.	ESTABLISHED	369,381 of 501,561 (0.7365); 354,102 MAPPED (0.9586); 15,279 frozen abstentions; 0 tool failures; 55,407,150 state rows	exact RT protein	501,561 exact RTs -> 369,381 eligible	eligibility is NON-UNIFORM: 11.3% eligible for mixed/codon evidence vs 73.6% catalogue-wide	results/rt07_g5a_eligibility_census; results/rt07_g5_catalogue_application	6f4a7fe	G5_ELIGIBLE_N = 369,381 is the denominator for every g5/g6 rate; the eligibility filter removed 26.35% of the catalogue unevenly.	Never use 501,561 as the denominator for a mapper-derived rate. Abstention is not biological absence.
C-06	Among catalytic-state-mapped sequences, 0.9653 carry a [YF].DD residue at that state.	ESTABLISHED	343,880 of 356,229 CAT-mapped; construction agreement 0.9857	exact RT protein	356,229 CAT_STATE-mapped sequences (its OWN denominator)	CAT_STATE 262 is not one of the 150 anchors; the two measurements are never pooled	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	6f4a7fe	Among sequences where the catalytic state was mapped, 96.53% carry the expected catalytic motif residue.	Do not pool this with anchor callability, and do not present it as accuracy against external truth.
C-07	RT0 and RT1 cannot be given an operational coordinate by this instrument.	ESTABLISHED (negative)	zero frozen anchors fall in LtrA 1-85 or 39-61; anchor reach is LtrA 97-363; 0 of 62 experimental structures carry RT0/RT1 states	historical label x LtrA residue	8 historical labels; 150 anchors; 62 structures	both historical (no stated boundary; Malik 1999 not held) AND instrumental	results/rt07_g7a_rt0_rt7_bridge; docs/errata/g7a_closure_decision_erratum_2026-09-19.tsv	34db87f	RT0 and RT1 are UNRESOLVED / NOT IDENTIFIABLE for historical and instrumental reasons; they may be discussed only as historical concepts.	Non-observability is NOT biological absence. RT0/RT1 may not be resolved by inference, analogy, interpolation or structural reasoning.
C-08	RT3, RT4, RT5+RT6 and RT7 correspond to frozen state intervals on LtrA.	SUPPORTED_WITH_LIMITATIONS	4 ESTABLISHED / 2 PARTIAL / 2 UNRESOLVED, all upheld on independent review (7/10, 0 blockers); RT4 splits into 3 in the independent frame (Jaccard 0.410)	historical label x LtrA residue	8 labels on ONE reference protein (LtrA)	Route C is corroboration of placement, not independent historical replication (E-g7a-1)	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	34db87f	Frozen states overlap a literature-supported PORTION of the named historical region, LtrA-locally; RT5 must be named jointly as RT5+RT6.	Do not present these as universal RT0-RT7 domains or as residue-level accuracy against external truth.
C-09	The mapper-derived descriptor is reproducible across annotation-defined family strata.	SUPPORTED_WITH_LIMITATIONS	split-half rho 0.9865 (36 families) on halves sharing no sequence cluster; exceeds the cluster-level null p99 (0.9066) but NOT the sequence-level null p99 (0.9906)	family stratum (split half)	36 families; 369,370 of 369,381 sequences are MyRT-derived	the grouping IS MyRT's; leakage 11.2% of hits / 19.8% of sampled queries; 26 of 50 retron subtype strata never entered a distance matrix	results/rt07_g6_family_architecture; docs/decisions/2026-09-19_stage2_g6_review_errata.md	049d7ab	g6 supports reproducibility of a mapper-derived descriptor across MyRT-defined strata - concordance, not independent discovery of biological family structure.	BLOCKED on the evidence: thesis-level biological claims, classification reassessment, and any claim of independent validation. The two nulls are sensitivity analyses, not proven bounds.
C-10	RT chains decompose into three reproducible compact fingers/palm/thumb units.	FAILED	palm-like called in 0.565 of 46 primary chains against a predeclared 0.70 bar; thumb-like 0.130; fingers-like 0.304; 22/22 LOGO folds FAIL; group-level 12/22 = 0.545	RT chain	46 primary chains in 22 biological groups	all 31 groups fall in ONE structural cluster; no biological positive control - HIV-1 1RTD_A is itself AMBIGUOUS	analysis/stage3a_structural_core/g2r/results/rt_units.report.txt	67c137b	Under PDP plus predeclared secondary-structure rules, a three-way fingers/palm/thumb partition is NOT recovered on 46 experimental RT chains.	Do not say 'RT chains have no palm'. The negative is specific to this parser AND these thresholds.
C-11	The PDP partition is itself replicate-stable.	FAILED	unit count agrees in 20/52 replicate pairs = 0.385	replicate chain pair	52 numbering-consistent pairs	-	analysis/stage3a_structural_core/g2r/results/rt_units.report.txt	67c137b	The structural partition is unstable across replicate structures of the same protein (38.5% agreement).	Do not treat any single PDP partition as the structure of that protein.
C-12	A motif-blind geometric rule identifies the RT catalytic site.	NOT_YET_TESTED	Tier B never opened; K5 decoy-sufficiency criterion FIRED (legitimate pool 23 vs required >=60); only in-sample Tier-A calibration exists (13/19 = 0.684); out-of-sample LOCO 12 HIT / 5 MISS / 2 ABSTAIN	RT chain	19 truth-bearing Tier-A chains (Tier B: 17, never evaluated)	SEP_MIN 75, SEP_MAX 115 and D_MAX 6.0 A were each derived from these SAME truth pairs; each window edge is set by a single chain	results/cat3b_g2_contract_and_thresholds; analysis/stage3b_design/G2_TIERA_EVALUATION.tsv	67c137b	Stage 3B produced in-sample calibration material only; it stopped on a kill criterion before any held-out evaluation.	Do not report 0.684 as detector performance. Do not describe the track as 'CLOSED at PARTIAL' - PARTIAL means a bounded-scope PASS on Tier B, which never happened.
C-13	Stage 3C establishes a reproducible catalytic-centre architecture.	WITHDRAWN pending repairs	independent review (Codex, model-disjoint) FAIL_BLOCK 4.5/10 with 5 blockers, ALL UPHELD after the author re-derived each number	RT chain	62-chain SELECTED register (not an unbiased census)	the instruments are NOT mutually independent (erratum E-3C-9); CAT_STATE 262 was constructed as the modal HMM state of [YF].DD motif starts, so its 2-residue offset is an expected motif-identity check (E-3C-4)	analysis/stage3c_architecture_integration; docs/errata/2026-09-19_stage3c_review_errata.md; docs/decisions/2026-09-19_stage3c_independent_review_outcome.md	bundle 34000ee; review eeaf0ae	Across nonuniform subsets of a selected register, mapped sequence-state blocks and Tier-A non-retron catalytic labels often occupy a large PDP unit. 'Conserved core plus variable accessory architecture' remains a HYPOTHESIS.	NOTHING from Stage 3C may be promoted. The 13/14 replicate figure is not the declared analysis (truth-bearing scope: 7/7 from TWO groups vs 0/7). No retron catalytic-architecture conclusion follows - all 19 truth-bearing chains are non-retron.
C-14	Retron Region Y is a universal, retron-diagnostic motif-anchored region.	FAILED (as universal and as exclusive)	Region Y defined in 15/21 retron chains; ALL SIX Retron-Eco8 chains carry no VTG-like triplet; VTG is present in 4 non-retron chains	RT chain	21 retron chains of 62	rule frozen before scanning (K9); controls passed (literature motif positions 9/9, YxDD 19/19, SUBSTRATE_NA 44/44, shuffle null 4/3300)	analysis/stage3c_architecture_integration/XY_REGION_ANNOTATIONS.tsv	34000ee	In this structure panel the VTG-anchored Region Y is neither universal among retrons nor exclusive to them.	Do not claim a universal Region-Y motif. Note the terminology hazard: group II intron 'domain X' is the thumb; retron 'Region X' lies between RT2 and RT3.
C-15	Region X is observable and carries a characteristic motif.	WITHDRAWN (blocker B4)	under the launcher-declared two-block rule Region X is defined in 24/62 chains and 3/21 retron chains, and NONE of those 24 intervals contains NAXXH or AXXH; all reported motif hits came from an UNDECLARED wide-window fallback	RT chain	62 chains / 21 retron chains	the reported hits are exploratory and are not pooled with the primary analysis	docs/errata/2026-09-19_stage3c_review_errata.md E-3C-6	eeaf0ae	Under the declared rule, Region X is undefined in 38 of 62 chains and no declared interval contains the expected motif.	Do not quote the 33/62 coverage or the 4 strict / 2 relaxed motif hits - they come from an undeclared window.
