worktree_path	branch	tip_commit	role	active_or_closed	results_already_on_main	safe_to_delete_or_archive	notes
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7	rt07-stage2-final-report	46414f4	main checkout; Stage-2 final reporting package	ACTIVE	NO - 46414f4 is one commit ahead of origin/main (94a1a78)	NO	origin/main is at 94a1a78; the Stage-2 final report is local only
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis	project-synthesis	48f9e1b + this package	independent synthesis / review; this package	ACTIVE	NO	NO - holds the only synthesis	analysis/project_synthesis + PROJECT_REVIEW_PACKAGE
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings	embeddings-g0	fdf0872	RT/ncRNA embeddings, X1, X2 (X2 CLOSED)	CLOSED at X2	NO	NO - X1/X2 bundles exist nowhere else	embed_g0..g2c, embed_x1, embed_x2; ARIS_OUTPUT ~5.5 GB gitignored and NOT re-derivable if cleared
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embedding-report	worktree-embedding-report	d7d3ece	reporting package for the RT-ncRNA chapter (figures, claim matrix, methods/results prose)	FINAL - refreshed on the frozen X2 result and closure	NO	NO - holds the canonical RT-ncRNA chapter reporting layer	was STALE at e3f96b1 (X1-only); d7d3ece consumes 4f8550b + fdf0872 and adds F8-F10, claims C-25..C-29 and the six-point OpenCRISPR subsection
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c	worktree-stage3c	eeaf0ae	Stage 3A (frozen), Stage 3B (frozen), Stage 3C + its FAILED independent review	ACTIVE - frozen pending repairs	NO	NO	Stage 3C bundle at 34000ee; review + errata + decision at eeaf0ae
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-asset-audit	prior-asset-audit	67c137b	Stage 3A closure and Stage 3B design/bundles as first landed	CLOSED	NO	ARCHIVE CANDIDATE - content is an ancestor of worktree-stage3c	identical Stage 3A/3B content to stage3c at 67c137b
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-mestre-audit	worktree-mestre-audit	033bfcb	Mestre/Toro historical audit; M2a stopped; M2 closure/handoff	CLOSED	NO	NO	MCC-v3.1 freeze e047fdc; M2a bundle b05934f; closure 033bfcb
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-spire-ncrna	worktree-spire-ncrna	ed4a663	SPIRE de novo ncRNA discovery; branch CLOSED after held-out failure	CLOSED	NO	NO - holds the only record of the failure	post-mortem features are inherited by boundary work
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-dbchar-workbench	dbchar-workbench	12ea561	Stage-1 thesis-writing workbench (exploratory)	ACTIVE (local only)	PARTIALLY - its tracked content is an ancestor of main	NO	ARIS_OUTPUT/dbchar_workbench/ (88 MB) is gitignored and is the ONLY copy of the Stage-1 writing material; text snapshot at docs/dbchar_workbench_snapshot/
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/.claude/worktrees/rt07-g7a-bridge	worktree-rt07-g7a-bridge	94a1a78	locked helper worktree for the g7a bridge	CLOSED	YES - merged into main	YES - safe to remove	git worktree list shows it locked
